Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.75497	-2.4706	-3.62085	-4.7857
1	4	7	10	4	1	7	1	-1.82944	-3.94568	-2.66687	-1.93834
2	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
3	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
4	9	25	2	10	22	3	6	-4.47356	-8.36285	-6.23668	-4.38266
5	4	7	10	4	1	7	1	-1.82944	-3.94568	-2.66687	-1.93834
6	4	7	10	4	1	7	1	-1.82944	-3.94568	-2.66687	-1.93834
7	4	7	10	4	42	51	1	-2.93665	-4.74316	-5.10571	-3.79451
8	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
9	10	81	50	99	120	76	52	-6.66092	-6.38557	-5.24445	-5.16248
10	2	1	21	3	2	1	5	-2.96036	-2.48228	-4.64051	-4.42458
11	2	1	21	3	2	1	5	-2.96036	-2.48228	-4.64051	-4.42458
12	9	25	2	10	22	3	6	-4.47356	-8.36285	-6.23668	-4.38266
13	2	1	21	3	2	1	5	-2.96036	-2.48228	-4.64051	-4.42458
14	10	27	16	19	10	5	7	-21.2047	-12.7725	-16.4027	-17.4468
15	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
16	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
17	9	2	4	62	4	5	6	-3.72603	-5.28441	-5.92672	-6.32652
18	9	53	2	53	11	3	3	-29.8869	-28.6688	-26.3799	-25.2432
19	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
20	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
21	4	7	10	4	1	7	1	-1.82944	-3.94568	-2.66687	-1.93834
22	2	4	1	2	2	1	5	-2.7857	-3.68172	-4.22088	-4.05034
23	1	4	2	2	6	3	17	-4.79515	-2.4316	-4.75252	-5.42511
