Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.67797	-2.50353	-3.57972	-4.91883
1	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
2	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
3	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
4	9	25	2	10	22	3	6	-4.50113	-7.26733	-6.21407	-4.33051
5	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
6	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
7	4	7	10	4	42	51	1	-2.96445	-4.56849	-4.95859	-3.77488
8	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
9	10	81	50	99	120	76	52	-6.70761	-6.38491	-5.31495	-5.1301
10	2	1	21	3	2	1	5	-2.96561	-2.49563	-4.33809	-4.49339
11	2	1	21	3	2	1	5	-2.96561	-2.49563	-4.33809	-4.49339
12	9	25	2	10	22	3	6	-4.50113	-7.26733	-6.21407	-4.33051
13	2	1	21	3	2	1	5	-2.96561	-2.49563	-4.33809	-4.49339
14	10	27	16	19	10	5	7	-19.7466	-12.8636	-15.832	-18.0001
15	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
16	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
17	9	2	4	62	4	5	6	-3.75841	-5.16115	-5.7435	-6.57568
18	9	53	2	53	11	3	3	-27.1603	-26.8417	-26.1402	-23.783
19	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
20	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
21	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
22	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
23	1	4	2	2	6	3	17	-4.67731	-2.46425	-4.48256	-5.57592
24	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
25	2	1	21	3	2	1	5	-2.96561	-2.49563	-4.33809	-4.49339
26	8	10	2	2	11	12	6	-3.99548	-6.97529	-7.36377	-7.03777
27	2	4	2	2	6	1	5	-6.12652	-4.84484	-5.90161	-7.77131
28	2	1	12	3	2	1	5	-2.65838	-2.12314	-3.56917	-4.78202
29	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
30	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
31	10	1	16	19	10	5	7	-6.22807	-2.76351	-4.15557	-5.18393
32	1	2	3	4	5	9	3	-4.67797	-2.50353	-3.57972	-4.91883
33	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
34	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
35	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
36	4	7	10	4	1	7	1	-1.85868	-3.69368	-2.69457	-1.90705
37	129	66	30	82	189	47	17	-3.28479	-4.8161	-5.62168	-4.1164
38	2	1	12	3	357	1	5	-5.62581	-5.83222	-6.61042	-6.51806
39	9	2	4	62	4	5	6	-3.75841	-5.16115	-5.7435	-6.57568
40	2	1	1	3	2	1	5	-4.64408	-3.7957	-6.18791	-7.21067
41	2	1	12	3	357	1	5	-5.62581	-5.83222	-6.61042	-6.51806
42	2	1	5	3	2	3	5	-4.26521	-3.26202	-5.43331	-4.77618
43	2	1	5	3	2	3	5	-4.26521	-3.26202	-5.43331	-4.77618
44	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
45	2	4	1	2	2	1	5	-2.80932	-3.62937	-4.14653	-4.07715
46	2	4	2	2	6	1	5	-6.12652	-4.84484	-5.90161	-7.77131
47	1	4	2	2	6	3	17	-4.67731	-2.46425	-4.48256	-5.57592
48	2	1	21	3	2	1	5	-2.96561	-2.49563	-4.33809	-4.49339
49	2	1	2	3	2	3	5	-3.79563	-6.7375	-7.15997	-6.83597
50	2	1	21	3	2	1	5	-2.96561	-2.49563	-4.33809	-4.49339
51	7	17	2	15	23	3	12	-6.94368	-9.95723	-10.3136	-9.98359
52	2	4	1	2	7	1	5	-2.34261	-5.35129	-5.6479	-5.05543
53	9	2	4	62	4	5	6	-3.75841	-5.16115	-5.7435	-6.57568
54	2	4	1	2	7	1	5	-2.34261	-5.35129	-5.6479	-5.05543
