Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.66292	-2.47444	-3.59443	-5.04981
1	4	7	10	4	1	7	1	-1.81386	-3.93671	-2.62495	-1.91736
2	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
3	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
4	9	25	2	10	22	3	6	-4.45697	-8.16315	-5.93772	-4.34277
5	4	7	10	4	1	7	1	-1.81386	-3.93671	-2.62495	-1.91736
6	4	7	10	4	1	7	1	-1.81386	-3.93671	-2.62495	-1.91736
7	4	7	10	4	42	51	1	-2.91091	-4.72855	-4.85448	-3.80202
8	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
9	10	81	50	99	120	76	52	-6.71058	-6.40481	-5.28817	-5.14381
10	2	1	21	3	2	1	5	-2.92025	-2.48007	-4.31912	-4.60869
11	2	1	21	3	2	1	5	-2.92025	-2.48007	-4.31912	-4.60869
12	9	25	2	10	22	3	6	-4.45697	-8.16315	-5.93772	-4.34277
13	2	1	21	3	2	1	5	-2.92025	-2.48007	-4.31912	-4.60869
14	10	27	16	19	10	5	7	-21.1322	-12.6666	-15.8587	-18.3826
15	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
16	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
17	9	2	4	62	4	5	6	-3.69248	-5.27863	-5.80525	-6.8542
18	9	53	2	53	11	3	3	-33.4081	-27.6831	-25.3364	-26.3012
19	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
20	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
21	4	7	10	4	1	7	1	-1.81386	-3.93671	-2.62495	-1.91736
22	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
23	1	4	2	2	6	3	17	-4.67779	-2.43289	-4.46431	-5.79854
24	4	7	10	4	1	7	1	-1.81386	-3.93671	-2.62495	-1.91736
25	2	1	21	3	2	1	5	-2.92025	-2.48007	-4.31912	-4.60869
26	8	10	2	2	11	12	6	-3.93042	-8.02916	-7.535	-7.33352
27	2	4	2	2	6	1	5	-6.08422	-4.81987	-5.92649	-8.04701
28	2	1	12	3	2	1	5	-2.61061	-2.1062	-3.58836	-5.02654
29	2	4	1	2	2	1	5	-2.75988	-3.67852	-4.14435	-4.13719
