Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.69835	-2.48823	-3.58683	-4.84079
1	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
2	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
3	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
4	9	25	2	10	22	3	6	-4.46	-7.35068	-5.957	-4.35609
5	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
6	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
7	4	7	10	4	42	51	1	-2.91633	-4.55039	-4.82807	-3.80185
8	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
9	10	81	50	99	120	76	52	-6.7383	-6.41356	-5.30608	-5.15579
10	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
11	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
12	9	25	2	10	22	3	6	-4.46	-7.35068	-5.957	-4.35609
13	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
14	10	27	16	19	10	5	7	-21.3146	-13.1448	-15.8013	-17.3133
15	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
16	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
17	9	2	4	62	4	5	6	-3.69899	-5.13195	-5.74476	-6.63882
18	9	53	2	53	11	3	3	-29.9787	-28.7306	-23.9142	-25.6925
19	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
20	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
21	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
22	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
23	1	4	2	2	6	3	17	-4.69819	-2.44805	-4.42677	-5.37722
24	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
25	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
26	8	10	2	2	11	12	6	-3.93603	-6.90064	-7.29045	-7.14798
27	2	4	2	2	6	1	5	-6.10253	-4.83168	-5.9139	-7.64683
28	2	1	12	3	2	1	5	-2.62044	-2.11104	-3.55465	-4.69633
29	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
30	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
31	10	1	16	19	10	5	7	-6.50851	-2.74813	-4.14313	-5.09505
32	1	2	3	4	5	9	3	-4.69835	-2.48823	-3.58683	-4.84079
33	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
34	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
35	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
36	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
37	129	66	30	82	189	47	17	-3.23224	-4.79627	-5.42399	-4.1434
38	2	1	12	3	357	1	5	-5.9311	-6.46395	-5.4917	-7.46513
39	9	2	4	62	4	5	6	-3.69899	-5.13195	-5.74476	-6.63882
40	2	1	1	3	2	1	5	-4.62251	-3.78333	-6.08704	-6.97058
41	2	1	12	3	357	1	5	-5.9311	-6.46395	-5.4917	-7.46513
42	2	1	5	3	2	3	5	-4.24238	-3.25024	-5.28643	-4.75279
43	2	1	5	3	2	3	5	-4.24238	-3.25024	-5.28643	-4.75279
44	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
45	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
46	2	4	2	2	6	1	5	-6.10253	-4.83168	-5.9139	-7.64683
47	1	4	2	2	6	3	17	-4.69819	-2.44805	-4.42677	-5.37722
48	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
49	2	1	2	3	2	3	5	-3.7419	-6.67592	-7.08699	-6.94432
50	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
51	7	17	2	15	23	3	12	-6.88181	-9.87143	-10.2398	-10.094
52	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
53	9	2	4	62	4	5	6	-3.69899	-5.13195	-5.74476	-6.63882
54	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
55	9	2	4	62	4	5	6	-3.69899	-5.13195	-5.74476	-6.63882
56	2	1	12	88	2	1	5	-3.94658	-3.42302	-5.51338	-5.27804
57	2	1	5	3	2	3	5	-4.24238	-3.25024	-5.28643	-4.75279
58	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
59	9	2	4	62	4	5	6	-3.69899	-5.13195	-5.74476	-6.63882
60	2	1	5	3	2	3	5	-4.24238	-3.25024	-5.28643	-4.75279
61	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
62	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
63	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
64	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
65	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
66	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
67	1	2	215	4	90	24	8	-28.8836	-29.9316	-19.3887	-21.5212
68	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
69	1	2	3	4	5	9	3	-4.69835	-2.48823	-3.58683	-4.84079
70	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
71	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
72	9	25	2	10	22	3	6	-4.46	-7.35068	-5.957	-4.35609
73	2	15	4	48	360	25	23	-6.73727	-9.23644	-5.73279	-4.90885
74	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
75	2	1	12	88	2	1	5	-3.94658	-3.42302	-5.51338	-5.27804
76	2	4	2	2	6	1	5	-6.10253	-4.83168	-5.9139	-7.64683
77	10	1	16	19	10	5	7	-6.50851	-2.74813	-4.14313	-5.09505
78	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
79	2	1	12	3	2	1	5	-2.62044	-2.11104	-3.55465	-4.69633
80	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
81	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
82	1	4	2	2	6	3	17	-4.69819	-2.44805	-4.42677	-5.37722
83	10	1	16	19	10	5	7	-6.50851	-2.74813	-4.14313	-5.09505
84	8	10	149	2	11	12	6	-4.87902	-3.96325	-5.57194	-6.95258
85	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
86	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
87	32	39	30	82	104	324	17	-8.50077	-4.67531	-7.1152	-8.35299
88	1	2	3	4	5	9	3	-4.69835	-2.48823	-3.58683	-4.84079
89	2	1	5	3	2	3	5	-4.24238	-3.25024	-5.28643	-4.75279
90	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
91	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
92	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
93	2	1	2	3	2	3	5	-3.7419	-6.67592	-7.08699	-6.94432
94	2	1	12	3	2	1	5	-2.62044	-2.11104	-3.55465	-4.69633
95	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
96	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
97	9	2	5	2	11	3	1	-30.8355	-32.1877	-28.4316	-26.6325
98	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
99	2	1	2	3	2	3	5	-3.7419	-6.67592	-7.08699	-6.94432
100	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
101	4	7	10	4	1	7	1	-1.82032	-3.71588	-2.63446	-1.9332
102	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
103	1	4	2	2	6	3	17	-4.69819	-2.44805	-4.42677	-5.37722
104	2	4	5	2	10	1	5	-6.87727	-9.85712	-10.2246	-10.0844
105	2	1	12	88	2	1	5	-3.94658	-3.42302	-5.51338	-5.27804
106	9	2	4	62	4	5	6	-3.69899	-5.13195	-5.74476	-6.63882
107	2	165	73	147	220	190	104	-9.06847	-10.3678	-6.96728	-5.23755
108	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
109	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
110	2	1	12	3	11	1	6	-19.8971	-18.1802	-20.1876	-21.1366
111	2	1	2	3	2	3	5	-3.7419	-6.67592	-7.08699	-6.94432
112	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
113	2	1	2	3	2	3	5	-3.7419	-6.67592	-7.08699	-6.94432
114	2	1	21	3	2	1	5	-2.92833	-2.48261	-4.2683	-4.4542
115	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
116	33	39	30	82	113	43	17	-10.0826	-6.46212	-6.18306	-8.35808
117	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
118	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
119	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
120	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
121	4	7	10	1	1	7	1	-5.26031	-8.209	-6.00933	-6.11343
122	2	1	12	3	2	1	5	-2.62044	-2.11104	-3.55465	-4.69633
123	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
124	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
125	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
126	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
127	2	4	1	2	2	1	5	-2.76741	-3.61564	-4.12274	-4.10147
128	2	1	12	88	2	1	5	-3.94658	-3.42302	-5.51338	-5.27804
129	2	1	12	3	2	1	5	-2.62044	-2.11104	-3.55465	-4.69633
130	2	1	12	3	2	1	5	-2.62044	-2.11104	-3.55465	-4.69633
131	2	4	1	2	7	1	5	-2.29101	-5.27278	-5.55857	-5.1393
