Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.73344	-2.49128	-3.63081	-4.97796
1	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
2	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
3	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
4	9	25	2	10	22	3	6	-4.44401	-7.8627	-6.13231	-4.40302
5	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
6	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
7	4	7	10	4	42	51	1	-2.90391	-4.67399	-4.90372	-3.84571
8	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
9	10	81	50	99	120	76	52	-6.6871	-6.42027	-5.26811	-5.18042
10	2	1	21	3	2	1	5	-2.92657	-2.48982	-4.49629	-4.61204
11	2	1	21	3	2	1	5	-2.92657	-2.48982	-4.49629	-4.61204
12	9	25	2	10	22	3	6	-4.44401	-7.8627	-6.13231	-4.40302
13	2	1	21	3	2	1	5	-2.92657	-2.48982	-4.49629	-4.61204
14	10	27	16	19	10	5	7	-21.7857	-12.6868	-16.5194	-18.5672
15	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
16	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
17	9	2	4	62	4	5	6	-3.68819	-5.23098	-5.69898	-6.65347
18	9	53	2	53	11	3	3	-32.4865	-29.8853	-25.923	-25.4258
19	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
20	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
21	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
22	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
23	1	4	2	2	6	3	17	-4.75418	-2.45019	-4.72484	-5.78814
24	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
25	2	1	21	3	2	1	5	-2.92657	-2.48982	-4.49629	-4.61204
26	8	10	2	2	11	12	6	-3.92454	-7.44023	-7.16737	-7.15025
27	2	4	2	2	6	1	5	-6.10875	-4.83382	-5.94549	-7.82083
28	2	1	12	3	2	1	5	-2.61852	-2.11591	-3.65355	-4.90257
29	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
30	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
31	10	1	16	19	10	5	7	-6.78058	-2.74904	-4.24997	-5.27649
32	1	2	3	4	5	9	3	-4.73344	-2.49128	-3.63081	-4.97796
33	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
34	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
35	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
36	4	7	10	4	1	7	1	-1.80352	-3.86684	-2.6354	-1.96548
37	129	66	30	82	189	47	17	-3.22043	-4.91227	-5.5723	-4.19455
38	2	1	12	3	357	1	5	-7.26166	-7.48107	-6.45021	-7.66472
39	9	2	4	62	4	5	6	-3.68819	-5.23098	-5.69898	-6.65347
40	2	1	1	3	2	1	5	-4.62732	-3.78454	-6.56115	-7.55174
41	2	1	12	3	357	1	5	-7.26166	-7.48107	-6.45021	-7.66472
42	2	1	5	3	2	3	5	-4.24826	-3.25161	-5.71176	-4.88128
43	2	1	5	3	2	3	5	-4.24826	-3.25161	-5.71176	-4.88128
44	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
45	2	4	1	2	2	1	5	-2.7561	-3.66308	-4.12389	-4.14277
46	2	4	2	2	6	1	5	-6.10875	-4.83382	-5.94549	-7.82083
47	1	4	2	2	6	3	17	-4.75418	-2.45019	-4.72484	-5.78814
48	2	1	21	3	2	1	5	-2.92657	-2.48982	-4.49629	-4.61204
49	2	1	2	3	2	3	5	-3.73028	-7.17851	-6.96597	-6.94592
50	2	1	21	3	2	1	5	-2.92657	-2.48982	-4.49629	-4.61204
51	7	17	2	15	23	3	12	-6.87037	-10.4544	-10.1154	-10.0964
52	2	4	1	2	7	1	5	-2.27924	-5.84829	-5.46007	-5.15441
53	9	2	4	62	4	5	6	-3.68819	-5.23098	-5.69898	-6.65347
