Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.85613	-2.47392	-3.63026	-4.94523
1	4	7	10	4	1	7	1	-1.81395	-3.73154	-2.61129	-1.93381
2	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
3	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
4	9	25	2	10	22	3	6	-4.4549	-7.38606	-5.96084	-4.3707
5	4	7	10	4	1	7	1	-1.81395	-3.73154	-2.61129	-1.93381
6	4	7	10	4	1	7	1	-1.81395	-3.73154	-2.61129	-1.93381
7	4	7	10	4	42	51	1	-2.9139	-4.639	-4.76865	-3.80238
8	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
9	10	81	50	99	120	76	52	-6.73465	-6.30656	-5.29997	-5.15818
10	2	1	21	3	2	1	5	-2.9481	-2.48672	-4.33888	-4.53918
11	2	1	21	3	2	1	5	-2.9481	-2.48672	-4.33888	-4.53918
12	9	25	2	10	22	3	6	-4.4549	-7.38606	-5.96084	-4.3707
13	2	1	21	3	2	1	5	-2.9481	-2.48672	-4.33888	-4.53918
14	10	27	16	19	10	5	7	-22.6073	-13.1486	-16.1866	-18.303
15	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
16	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
17	9	2	4	62	4	5	6	-3.70117	-5.23769	-5.63202	-6.50683
18	9	53	2	53	11	3	3	-29.2677	-26.7001	-25.1681	-25.3114
19	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
20	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
21	4	7	10	4	1	7	1	-1.81395	-3.73154	-2.61129	-1.93381
22	2	4	1	2	2	1	5	-2.76578	-3.65397	-4.08282	-4.09174
23	1	4	2	2	6	3	17	-4.86765	-2.4379	-4.58606	-5.70669
24	4	7	10	4	1	7	1	-1.81395	-3.73154	-2.61129	-1.93381
25	2	1	21	3	2	1	5	-2.9481	-2.48672	-4.33888	-4.53918
26	8	10	2	2	11	12	6	-3.93439	-7.67169	-6.89266	-6.96439
27	2	4	2	2	6	1	5	-6.15673	-4.82362	-5.94312	-7.76205
