Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.56454	-2.49817	-3.49794	-4.90888
1	4	7	10	4	1	7	1	-1.82951	-3.81731	-2.64868	-1.96117
2	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
3	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
4	9	25	2	10	22	3	6	-4.47281	-7.60263	-6.058	-4.39666
5	4	7	10	4	1	7	1	-1.82951	-3.81731	-2.64868	-1.96117
6	4	7	10	4	1	7	1	-1.82951	-3.81731	-2.64868	-1.96117
7	4	7	10	4	42	51	1	-2.9297	-4.68644	-4.96595	-3.80892
8	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
9	10	81	50	99	120	76	52	-6.68404	-6.36704	-5.25446	-5.20616
10	2	1	21	3	2	1	5	-2.92064	-2.50657	-4.23635	-4.45287
11	2	1	21	3	2	1	5	-2.92064	-2.50657	-4.23635	-4.45287
12	9	25	2	10	22	3	6	-4.47281	-7.60263	-6.058	-4.39666
13	2	1	21	3	2	1	5	-2.92064	-2.50657	-4.23635	-4.45287
14	10	27	16	19	10	5	7	-20.0909	-12.9303	-15.7752	-17.3698
15	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
16	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
17	9	2	4	62	4	5	6	-3.71449	-5.26893	-5.8781	-6.37954
18	9	53	2	53	11	3	3	-30.386	-27.7124	-26.3138	-23.9065
19	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
20	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
21	4	7	10	4	1	7	1	-1.82951	-3.81731	-2.64868	-1.96117
22	2	4	1	2	2	1	5	-2.77539	-3.68255	-4.15352	-4.08592
23	1	4	2	2	6	3	17	-4.57299	-2.45986	-4.29544	-5.48819
24	4	7	10	4	1	7	1	-1.82951	-3.81731	-2.64868	-1.96117
