Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
1	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
2	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
3	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
4	9	25	2	10	22	3	6	-4.48127	-7.89774	-5.95525	-4.35863
5	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
6	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
7	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
8	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
9	10	81	50	99	120	76	52	-6.68664	-6.36441	-5.27927	-5.12055
10	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
11	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
12	9	25	2	10	22	3	6	-4.48127	-7.89774	-5.95525	-4.35863
13	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
14	10	27	16	19	10	5	7	-20.234	-12.9415	-15.8832	-18.1724
15	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
16	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
17	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
18	9	53	2	53	11	3	3	-29.528	-27.5352	-27.3898	-24.5559
19	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
20	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
21	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
22	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
23	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
24	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
25	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
26	8	10	2	2	11	12	6	-3.96282	-8.0453	-7.21999	-7.30596
27	2	4	2	2	6	1	5	-6.10014	-4.82737	-5.8978	-7.67031
28	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
29	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
30	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
31	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
32	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
33	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
34	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
35	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
36	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
37	129	66	30	82	189	47	17	-3.25705	-4.95075	-5.41429	-4.16102
38	2	1	12	3	357	1	5	-6.5856	-6.03826	-7.20429	-6.98489
39	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
40	2	1	1	3	2	1	5	-4.62866	-3.78626	-6.12266	-7.45811
41	2	1	12	3	357	1	5	-6.5856	-6.03826	-7.20429	-6.98489
42	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
43	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
44	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
45	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
46	2	4	2	2	6	1	5	-6.10014	-4.82737	-5.8978	-7.67031
47	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
48	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
49	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
50	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
51	7	17	2	15	23	3	12	-6.91024	-11.0873	-10.1689	-10.2518
52	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
53	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
54	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
55	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
56	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
57	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
58	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
59	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
60	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
61	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
62	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
63	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
64	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
65	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
66	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
67	1	2	215	4	90	24	8	-29.713	-27.4254	-24.5795	-19.7255
68	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
69	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
70	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
71	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
72	9	25	2	10	22	3	6	-4.48127	-7.89774	-5.95525	-4.35863
73	2	15	4	48	360	25	23	-6.70325	-8.73531	-5.71328	-4.89247
74	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
75	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
76	2	4	2	2	6	1	5	-6.10014	-4.82737	-5.8978	-7.67031
77	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
78	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
79	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
80	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
81	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
82	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
83	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
84	8	10	149	2	11	12	6	-4.89384	-3.96733	-5.57024	-7.17722
85	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
86	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
87	32	39	30	82	104	324	17	-8.38606	-4.66702	-7.1701	-9.15238
88	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
89	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
90	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
91	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
92	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
93	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
94	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
95	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
96	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
97	9	2	5	2	11	3	1	-28.4142	-32.3925	-28.468	-26.774
98	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
99	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
100	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
101	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
102	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
103	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
104	2	4	5	2	10	1	5	-6.90005	-11.0688	-10.1541	-10.2428
105	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
106	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
107	2	165	73	147	220	190	104	-8.84256	-9.35231	-6.97843	-5.23485
108	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
109	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
110	2	1	12	3	11	1	6	-18.3009	-17.9317	-20.2254	-21.4768
111	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
112	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
113	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
114	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
115	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
116	33	39	30	82	113	43	17	-9.44508	-6.43748	-6.1508	-8.0401
117	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
118	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
119	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
120	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
121	4	7	10	1	1	7	1	-5.27615	-8.91054	-5.97504	-6.0759
122	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
123	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
124	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
125	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
126	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
127	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
128	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
129	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
130	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
131	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
132	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
133	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
134	2	4	5	2	2	5	5	-3.67924	-7.77318	-6.65569	-5.92423
135	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
136	1	4	2	2	6	3	1	-11.1581	-10.2248	-10.4278	-11.3313
137	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
138	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
139	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
140	8	10	2	2	11	12	6	-3.96282	-8.0453	-7.21999	-7.30596
141	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
142	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
143	2	1	2	3	2	3	5	-3.76483	-7.77338	-7.01703	-7.103
144	129	66	30	82	189	47	17	-3.25705	-4.95075	-5.41429	-4.16102
145	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
146	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
147	7	21	5	62	4	61	44	-7.47697	-3.81987	-5.57178	-7.50265
148	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
149	2	937	1	2	2	1	5	-6.65594	-7.60667	-7.74774	-6.25438
150	1	14	2	2	6	1	17	-9.35498	-6.42694	-7.72518	-6.32436
151	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
152	8	10	149	2	11	12	6	-4.89384	-3.96733	-5.57024	-7.17722
153	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
154	9	30	2	2	89	59	6	-4.96211	-9.14103	-8.22205	-8.30509
155	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
156	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
157	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
158	180	194	2	68	19	231	147	-25.0562	-29.1233	-26.8594	-19.4199
159	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
160	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
161	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
162	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
163	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
164	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
165	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
166	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
167	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
168	104	7	10	4	1	7	1	-4.41695	-8.60281	-7.66693	-7.74592
169	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
170	10	27	16	19	10	5	7	-20.234	-12.9415	-15.8832	-18.1724
171	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
172	2	1	1	3	2	1	5	-4.62866	-3.78626	-6.12266	-7.45811
173	7	21	5	62	4	61	44	-7.47697	-3.81987	-5.57178	-7.50265
174	2	1	1	3	2	1	5	-4.62866	-3.78626	-6.12266	-7.45811
175	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
176	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
177	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
178	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
179	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
180	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
181	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
182	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
183	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
184	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
185	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
186	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
187	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
188	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
189	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
190	1	2	4	62	4	5	17	-6.12521	-4.84187	-7.23271	-8.74379
191	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
192	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
193	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
194	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
195	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
196	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
197	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
198	1	2	4	62	4	5	17	-6.12521	-4.84187	-7.23271	-8.74379
199	2	250	4	281	358	25	57	-28.4971	-29.3048	-21.36	-17.8072
200	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
201	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
202	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
203	2	4	2	4	19	3	6	-5.80546	-9.98103	-9.06141	-9.14419
204	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
205	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
206	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
207	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
208	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
209	1	2	4	62	4	5	17	-6.12521	-4.84187	-7.23271	-8.74379
210	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
211	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
212	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
213	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
214	47	2	4	2	6	5	17	-10.2694	-10.4187	-6.20955	-8.09408
215	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
216	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
217	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
218	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
219	10	81	50	99	120	76	52	-6.68664	-6.36441	-5.27927	-5.12055
220	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
221	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
222	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
223	1	2	4	62	4	5	17	-6.12521	-4.84187	-7.23271	-8.74379
224	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
225	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
226	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
227	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
228	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
229	1	4	2	348	6	3	17	-9.07801	-5.35297	-7.85749	-9.84317
230	1	2	4	62	4	5	17	-6.12521	-4.84187	-7.23271	-8.74379
231	10	27	16	19	10	5	7	-20.234	-12.9415	-15.8832	-18.1724
232	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
233	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
234	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
235	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
236	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
237	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
238	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
239	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
240	2	1	4	28	58	25	58	-5.67723	-8.08329	-5.37542	-4.21974
241	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
242	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
243	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
244	2	1	5	10	11	1	5	-26.3254	-22.7768	-24.2679	-25.5252
245	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
246	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
247	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
248	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
249	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
250	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
251	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
252	8	10	149	2	11	12	6	-4.89384	-3.96733	-5.57024	-7.17722
253	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
254	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
255	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
256	1	307	3	4	5	9	3	-6.83914	-6.42635	-6.12158	-7.93139
257	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
258	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
259	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
260	2	61	4	64	126	7	23	-6.03763	-8.24654	-5.95967	-4.2386
261	7	21	5	62	4	61	44	-7.47697	-3.81987	-5.57178	-7.50265
262	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
263	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
264	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
265	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
266	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
267	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
268	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
269	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
270	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
271	1	2	4	62	4	5	17	-6.12521	-4.84187	-7.23271	-8.74379
272	4	1	21	3	2	1	5	-9.49555	-10.371	-10.384	-10.3322
273	10	1	16	19	10	5	7	-6.3052	-2.73621	-4.13876	-5.15049
274	33	283	44	82	189	44	17	-7.07918	-3.46033	-5.32275	-6.02047
275	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
276	10	81	50	99	120	76	52	-6.68664	-6.36441	-5.27927	-5.12055
277	4	7	10	4	42	25	1	-8.59299	-9.05686	-5.81556	-5.15401
278	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
279	2	4	5	2	10	1	5	-6.90005	-11.0688	-10.1541	-10.2428
280	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
281	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
282	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
283	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
284	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
285	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
286	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
287	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
288	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
289	33	39	30	79	113	44	17	-25.5268	-25.0295	-24.7849	-27.4264
290	1	2	3	4	5	9	3	-4.66192	-2.47866	-3.57319	-4.8514
291	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
292	9	2	4	62	4	5	6	-3.72501	-5.27898	-5.70903	-6.71882
293	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
294	2	1	5	3	2	5	5	-5.60075	-2.82231	-4.05116	-5.43569
295	2	1	5	3	2	5	5	-5.60075	-2.82231	-4.05116	-5.43569
296	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
297	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
298	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
299	32	39	30	82	104	324	17	-8.38606	-4.66702	-7.1701	-9.15238
300	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
301	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
302	1	4	2	2	6	3	5	-8.88163	-5.26868	-7.78205	-9.76503
303	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
304	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
305	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
306	7	21	5	62	4	61	44	-7.47697	-3.81987	-5.57178	-7.50265
307	104	7	10	4	1	7	1	-4.41695	-8.60281	-7.66693	-7.74592
308	9	25	2	10	22	3	6	-4.48127	-7.89774	-5.95525	-4.35863
309	2	4	2	2	6	3	17	-10.5679	-7.81343	-10.0231	-11.1697
310	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
311	129	66	30	82	189	47	17	-3.25705	-4.95075	-5.41429	-4.16102
312	33	39	30	82	104	173	68	-5.41517	-3.97173	-6.38231	-7.94897
313	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
314	2	1	1	3	2	1	5	-4.62866	-3.78626	-6.12266	-7.45811
315	7	21	5	62	4	61	44	-7.47697	-3.81987	-5.57178	-7.50265
316	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
317	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
318	10	2	107	62	120	76	1	-6.86229	-10.0277	-7.9593	-6.31309
319	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
320	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
321	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
322	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
323	2	1	12	88	2	1	5	-3.96246	-3.43102	-5.54026	-5.38964
324	4	7	10	4	42	7	1	-6.56886	-8.54427	-5.59414	-4.64853
325	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
326	2	1	21	3	2	1	5	-2.94328	-2.49171	-4.27604	-4.56166
327	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
328	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
329	2	4	1	2	7	1	5	-2.31259	-6.46995	-5.4944	-5.24619
330	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
331	2	1	12	3	2	1	5	-2.63323	-2.11808	-3.54658	-4.83066
332	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
333	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
334	1	4	2	2	6	3	17	-4.68576	-2.44057	-4.44674	-5.62429
335	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
336	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
337	7	17	2	15	23	3	12	-6.91024	-11.0873	-10.1689	-10.2518
338	2	1	5	3	2	3	5	-4.25339	-3.24887	-5.31804	-4.82342
339	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
340	4	7	10	4	1	7	1	-1.83444	-3.87435	-2.61144	-1.92315
341	4	7	10	4	42	51	1	-2.93757	-4.71456	-4.81096	-3.81418
342	2	4	1	2	2	1	5	-2.7821	-3.68121	-4.09833	-4.10863
