Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.67592	-2.48754	-3.62866	-4.9137
1	4	7	10	4	1	7	1	-1.82533	-3.73508	-2.60165	-1.90208
2	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
3	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
4	9	25	2	10	22	3	6	-4.46814	-7.40124	-5.87403	-4.332
5	4	7	10	4	1	7	1	-1.82533	-3.73508	-2.60165	-1.90208
6	4	7	10	4	1	7	1	-1.82533	-3.73508	-2.60165	-1.90208
7	4	7	10	4	42	51	1	-2.92331	-4.58468	-4.87418	-3.75226
8	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
9	10	81	50	99	120	76	52	-6.73086	-6.3893	-5.26506	-5.1412
10	2	1	21	3	2	1	5	-2.92942	-2.4869	-4.42786	-4.43842
11	2	1	21	3	2	1	5	-2.92942	-2.4869	-4.42786	-4.43842
12	9	25	2	10	22	3	6	-4.46814	-7.40124	-5.87403	-4.332
13	2	1	21	3	2	1	5	-2.92942	-2.4869	-4.42786	-4.43842
14	10	27	16	19	10	5	7	-20.458	-13.1007	-15.9764	-17.8898
15	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
16	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
17	9	2	4	62	4	5	6	-3.70904	-5.16782	-5.90486	-6.35342
18	9	53	2	53	11	3	3	-29.8264	-26.6633	-26.4453	-24.7187
19	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
20	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
21	4	7	10	4	1	7	1	-1.82533	-3.73508	-2.60165	-1.90208
22	2	4	1	2	2	1	5	-2.77034	-3.63157	-4.1802	-4.0359
23	1	4	2	2	6	3	17	-4.67578	-2.44837	-4.56844	-5.55856
24	4	7	10	4	1	7	1	-1.82533	-3.73508	-2.60165	-1.90208
25	2	1	21	3	2	1	5	-2.92942	-2.4869	-4.42786	-4.43842
26	8	10	2	2	11	12	6	-3.94601	-7.08724	-7.96971	-6.76524
