Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.7531	-2.47522	-3.60834	-4.78267
1	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
2	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
3	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
4	9	25	2	10	22	3	6	-4.47144	-7.48961	-5.87027	-4.32257
5	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
6	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
7	4	7	10	4	42	51	1	-2.92589	-4.62232	-4.86912	-3.7756
8	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
9	10	81	50	99	120	76	52	-6.73727	-6.37962	-5.2659	-5.13365
10	2	1	21	3	2	1	5	-2.94485	-2.47826	-4.37446	-4.38909
11	2	1	21	3	2	1	5	-2.94485	-2.47826	-4.37446	-4.38909
12	9	25	2	10	22	3	6	-4.47144	-7.48961	-5.87027	-4.32257
13	2	1	21	3	2	1	5	-2.94485	-2.47826	-4.37446	-4.38909
14	10	27	16	19	10	5	7	-21.2945	-13.0137	-16.076	-17.0254
15	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
16	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
17	9	2	4	62	4	5	6	-3.71004	-5.20681	-5.8982	-6.6993
18	9	53	2	53	11	3	3	-29.251	-29.618	-24.7727	-26.1409
19	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
20	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
21	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
22	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
23	1	4	2	2	6	3	17	-4.76799	-2.43464	-4.49979	-5.22154
24	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
25	2	1	21	3	2	1	5	-2.94485	-2.47826	-4.37446	-4.38909
26	8	10	2	2	11	12	6	-3.94583	-7.38285	-7.99339	-7.23019
27	2	4	2	2	6	1	5	-6.12647	-4.82195	-5.94813	-7.59553
28	2	1	12	3	2	1	5	-2.63628	-2.10664	-3.63331	-4.63202
29	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
30	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
31	10	1	16	19	10	5	7	-6.78418	-2.73294	-4.16634	-5.0118
32	1	2	3	4	5	9	3	-4.7531	-2.47522	-3.60834	-4.78267
33	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
34	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
35	2	4	1	2	2	1	5	-2.77473	-3.64374	-4.17337	-4.08456
36	4	7	10	4	1	7	1	-1.82774	-3.7789	-2.60639	-1.90832
37	129	66	30	82	189	47	17	-3.24384	-4.86209	-5.4825	-4.11385
38	2	1	12	3	357	1	5	-6.11062	-7.00583	-5.79067	-7.5746
39	9	2	4	62	4	5	6	-3.71004	-5.20681	-5.8982	-6.6993
40	2	1	1	3	2	1	5	-4.63977	-3.77548	-6.27313	-6.79547
