Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.71508	-2.48412	-3.59316	-4.90549
1	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
2	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
3	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
4	9	25	2	10	22	3	6	-4.46793	-8.06327	-6.15746	-4.41226
5	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
6	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
7	4	7	10	4	42	51	1	-2.91949	-4.72153	-5.0314	-3.86122
8	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
9	10	81	50	99	120	76	52	-6.74229	-6.4104	-5.21754	-5.19822
10	2	1	21	3	2	1	5	-2.93241	-2.4858	-4.56967	-4.55616
11	2	1	21	3	2	1	5	-2.93241	-2.4858	-4.56967	-4.55616
12	9	25	2	10	22	3	6	-4.46793	-8.06327	-6.15746	-4.41226
13	2	1	21	3	2	1	5	-2.93241	-2.4858	-4.56967	-4.55616
14	10	27	16	19	10	5	7	-20.9186	-12.5798	-16.6192	-17.3582
15	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
16	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
17	9	2	4	62	4	5	6	-3.70285	-5.27459	-5.86578	-6.77348
18	9	53	2	53	11	3	3	-29.9973	-26.9807	-25.3226	-26.3025
19	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
20	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
21	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
22	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
23	1	4	2	2	6	3	17	-4.72534	-2.44231	-4.69487	-5.52167
24	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
25	2	1	21	3	2	1	5	-2.93241	-2.4858	-4.56967	-4.55616
26	8	10	2	2	11	12	6	-3.93914	-7.86516	-8.18043	-7.32318
27	2	4	2	2	6	1	5	-6.10703	-4.8276	-5.923	-7.72928
28	2	1	12	3	2	1	5	-2.62328	-2.11164	-3.68197	-4.82025
29	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
30	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
31	10	1	16	19	10	5	7	-6.60235	-2.74056	-4.20127	-5.17282
32	1	2	3	4	5	9	3	-4.71508	-2.48412	-3.59316	-4.90549
33	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
34	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
35	2	4	1	2	2	1	5	-2.76656	-3.67895	-4.17693	-4.16602
36	4	7	10	4	1	7	1	-1.82295	-3.92051	-2.63182	-1.97988
37	129	66	30	82	189	47	17	-3.23766	-4.95527	-5.77619	-4.2091
38	2	1	12	3	357	1	5	-6.55278	-6.11439	-5.90016	-8.10047
39	9	2	4	62	4	5	6	-3.70285	-5.27459	-5.86578	-6.77348
40	2	1	1	3	2	1	5	-4.6231	-3.77823	-6.7008	-7.20314
41	2	1	12	3	357	1	5	-6.55278	-6.11439	-5.90016	-8.10047
42	2	1	5	3	2	3	5	-4.25202	-3.24403	-5.74683	-4.83311
43	2	1	5	3	2	3	5	-4.25202	-3.24403	-5.74683	-4.83311
