Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.65526	-2.47235	-3.74901	-4.91032
1	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
2	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
3	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
4	9	25	2	10	22	3	6	-4.47706	-7.63641	-5.95271	-4.35312
5	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
6	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
7	4	7	10	4	42	51	1	-2.93136	-4.6431	-4.86672	-3.76968
8	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
9	10	81	50	99	120	76	52	-6.72257	-6.37343	-5.34553	-5.14891
10	2	1	21	3	2	1	5	-2.93484	-2.47933	-4.5589	-4.46941
11	2	1	21	3	2	1	5	-2.93484	-2.47933	-4.5589	-4.46941
12	9	25	2	10	22	3	6	-4.47706	-7.63641	-5.95271	-4.35312
13	2	1	21	3	2	1	5	-2.93484	-2.47933	-4.5589	-4.46941
14	10	27	16	19	10	5	7	-20.4631	-13.0493	-16.2944	-18.1188
15	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
16	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
17	9	2	4	62	4	5	6	-3.71567	-5.2167	-5.82003	-6.34197
18	9	53	2	53	11	3	3	-29.3378	-28.6311	-23.1582	-26.2024
19	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
20	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
21	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
22	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
23	1	4	2	2	6	3	17	-4.66413	-2.43324	-4.81561	-5.62928
24	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
25	2	1	21	3	2	1	5	-2.93484	-2.47933	-4.5589	-4.46941
26	8	10	2	2	11	12	6	-3.95367	-7.48686	-7.25545	-6.76719
27	2	4	2	2	6	1	5	-6.0937	-4.81981	-6.07275	-7.68151
28	2	1	12	3	2	1	5	-2.6254	-2.10681	-3.7654	-4.68835
29	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
30	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
31	10	1	16	19	10	5	7	-6.28483	-2.73052	-4.3596	-5.21461
32	1	2	3	4	5	9	3	-4.65526	-2.47235	-3.74901	-4.91032
33	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
34	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
35	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
36	4	7	10	4	1	7	1	-1.83298	-3.80549	-2.65309	-1.91533
37	129	66	30	82	189	47	17	-3.24907	-4.88262	-5.47627	-4.116
38	2	1	12	3	357	1	5	-6.15953	-6.47396	-5.51352	-7.8687
39	9	2	4	62	4	5	6	-3.71567	-5.2167	-5.82003	-6.34197
40	2	1	1	3	2	1	5	-4.62133	-3.77613	-6.62402	-7.13873
41	2	1	12	3	357	1	5	-6.15953	-6.47396	-5.51352	-7.8687
42	2	1	5	3	2	3	5	-4.24366	-3.23986	-5.67249	-4.79925
43	2	1	5	3	2	3	5	-4.24366	-3.23986	-5.67249	-4.79925
44	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
45	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
46	2	4	2	2	6	1	5	-6.0937	-4.81981	-6.07275	-7.68151
47	1	4	2	2	6	3	17	-4.66413	-2.43324	-4.81561	-5.62928
48	2	1	21	3	2	1	5	-2.93484	-2.47933	-4.5589	-4.46941
49	2	1	2	3	2	3	5	-3.75744	-7.24569	-7.05013	-6.5641
50	2	1	21	3	2	1	5	-2.93484	-2.47933	-4.5589	-4.46941
51	7	17	2	15	23	3	12	-6.90033	-10.4815	-10.2046	-9.71336
52	2	4	1	2	7	1	5	-2.30587	-5.87545	-5.52355	-4.86157
53	9	2	4	62	4	5	6	-3.71567	-5.2167	-5.82003	-6.34197
54	2	4	1	2	7	1	5	-2.30587	-5.87545	-5.52355	-4.86157
55	9	2	4	62	4	5	6	-3.71567	-5.2167	-5.82003	-6.34197
56	2	1	12	88	2	1	5	-3.95317	-3.41876	-5.91775	-5.30942
57	2	1	5	3	2	3	5	-4.24366	-3.23986	-5.67249	-4.79925
58	2	4	1	2	2	1	5	-2.77788	-3.64913	-4.20127	-4.04495
59	9	2	4	62	4	5	6	-3.71567	-5.2167	-5.82003	-6.34197
60	2	1	5	3	2	3	5	-4.24366	-3.23986	-5.67249	-4.79925
