Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.66153	-2.49336	-3.54643	-4.96502
1	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
2	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
3	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
4	9	25	2	10	22	3	6	-4.45658	-7.3934	-6.07874	-4.30688
5	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
6	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
7	4	7	10	4	42	51	1	-2.9238	-4.62694	-4.92545	-3.74239
8	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
9	10	81	50	99	120	76	52	-6.66113	-6.37706	-5.28995	-5.1275
10	2	1	21	3	2	1	5	-2.93329	-2.49362	-4.27557	-4.45602
11	2	1	21	3	2	1	5	-2.93329	-2.49362	-4.27557	-4.45602
12	9	25	2	10	22	3	6	-4.45658	-7.3934	-6.07874	-4.30688
13	2	1	21	3	2	1	5	-2.93329	-2.49362	-4.27557	-4.45602
14	10	27	16	19	10	5	7	-20.6813	-12.8946	-15.5827	-17.8703
15	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
16	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
17	9	2	4	62	4	5	6	-3.71337	-5.22068	-5.7995	-6.48829
18	9	53	2	53	11	3	3	-31.0395	-25.6302	-24.6626	-25.3285
19	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
20	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
21	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
22	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
23	1	4	2	2	6	3	17	-4.66876	-2.45296	-4.38732	-5.57534
24	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
25	2	1	21	3	2	1	5	-2.93329	-2.49362	-4.27557	-4.45602
26	8	10	2	2	11	12	6	-3.95124	-7.36377	-7.67067	-6.89353
27	2	4	2	2	6	1	5	-6.09867	-4.83864	-5.87823	-7.84625
28	2	1	12	3	2	1	5	-2.62631	-2.12181	-3.53895	-4.76097
29	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
30	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
31	10	1	16	19	10	5	7	-6.30081	-2.75122	-4.10201	-5.21196
32	1	2	3	4	5	9	3	-4.66153	-2.49336	-3.54643	-4.96502
33	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
34	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
35	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
36	4	7	10	4	1	7	1	-1.81898	-3.75958	-2.65837	-1.88633
37	129	66	30	82	189	47	17	-3.2406	-4.86839	-5.56984	-4.08367
38	2	1	12	3	357	1	5	-6.78436	-5.16396	-5.94272	-7.4092
39	9	2	4	62	4	5	6	-3.71337	-5.22068	-5.7995	-6.48829
40	2	1	1	3	2	1	5	-4.62483	-3.79106	-6.08356	-7.12024
41	2	1	12	3	357	1	5	-6.78436	-5.16396	-5.94272	-7.4092
42	2	1	5	3	2	3	5	-4.23673	-3.25438	-5.29739	-4.74773
43	2	1	5	3	2	3	5	-4.23673	-3.25438	-5.29739	-4.74773
44	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
45	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
46	2	4	2	2	6	1	5	-6.09867	-4.83864	-5.87823	-7.84625
47	1	4	2	2	6	3	17	-4.66876	-2.45296	-4.38732	-5.57534
48	2	1	21	3	2	1	5	-2.93329	-2.49362	-4.27557	-4.45602
49	2	1	2	3	2	3	5	-3.75612	-7.11756	-7.46516	-6.69059
50	2	1	21	3	2	1	5	-2.93329	-2.49362	-4.27557	-4.45602
51	7	17	2	15	23	3	12	-6.89743	-10.3604	-10.6225	-9.83954
52	2	4	1	2	7	1	5	-2.30463	-5.74875	-5.91163	-4.94449
53	9	2	4	62	4	5	6	-3.71337	-5.22068	-5.7995	-6.48829
54	2	4	1	2	7	1	5	-2.30463	-5.74875	-5.91163	-4.94449
55	9	2	4	62	4	5	6	-3.71337	-5.22068	-5.7995	-6.48829
56	2	1	12	88	2	1	5	-3.95049	-3.43326	-5.53816	-5.2734
57	2	1	5	3	2	3	5	-4.23673	-3.25438	-5.29739	-4.74773
58	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
59	9	2	4	62	4	5	6	-3.71337	-5.22068	-5.7995	-6.48829
60	2	1	5	3	2	3	5	-4.23673	-3.25438	-5.29739	-4.74773
61	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
62	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
63	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
64	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
65	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
66	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
67	1	2	215	4	90	24	8	-30.5212	-24.4564	-20.6916	-21.1896
68	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
69	1	2	3	4	5	9	3	-4.66153	-2.49336	-3.54643	-4.96502
70	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
71	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
72	9	25	2	10	22	3	6	-4.45658	-7.3934	-6.07874	-4.30688
73	2	15	4	48	360	25	23	-6.64604	-8.55793	-5.74129	-4.87049
74	2	4	1	2	2	1	5	-2.77513	-3.6551	-4.14322	-4.05023
75	2	1	12	88	2	1	5	-3.95049	-3.43326	-5.53816	-5.2734
