Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.64579	-2.48488	-3.63699	-4.79499
1	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
2	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
3	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
4	9	25	2	10	22	3	6	-4.48567	-7.53881	-5.96443	-4.43312
5	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
6	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
7	4	7	10	4	42	51	1	-2.94959	-4.67411	-4.85321	-3.86755
8	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
9	10	81	50	99	120	76	52	-6.68635	-6.33755	-5.364	-5.17875
10	2	1	21	3	2	1	5	-2.95138	-2.49745	-4.29319	-4.55378
11	2	1	21	3	2	1	5	-2.95138	-2.49745	-4.29319	-4.55378
12	9	25	2	10	22	3	6	-4.48567	-7.53881	-5.96443	-4.43312
13	2	1	21	3	2	1	5	-2.95138	-2.49745	-4.29319	-4.55378
14	10	27	16	19	10	5	7	-20.2092	-13.0748	-15.5312	-17.5222
15	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
16	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
17	9	2	4	62	4	5	6	-3.7391	-5.26233	-5.80059	-6.60423
18	9	53	2	53	11	3	3	-27.6597	-27.7761	-23.3117	-25.7134
19	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
20	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
21	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
22	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
23	1	4	2	2	6	3	17	-4.65302	-2.44782	-4.45372	-5.53827
24	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
25	2	1	21	3	2	1	5	-2.95138	-2.49745	-4.29319	-4.55378
26	8	10	2	2	11	12	6	-3.97765	-7.80421	-7.33127	-7.20212
27	2	4	2	2	6	1	5	-6.10626	-4.83425	-5.96658	-7.52009
28	2	1	12	3	2	1	5	-2.64336	-2.12474	-3.59624	-4.72212
29	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
30	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
31	10	1	16	19	10	5	7	-6.17338	-2.74307	-4.18913	-5.12263
32	1	2	3	4	5	9	3	-4.64579	-2.48488	-3.63699	-4.79499
33	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
34	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
35	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
36	4	7	10	4	1	7	1	-1.84528	-3.78955	-2.6748	-1.97897
37	129	66	30	82	189	47	17	-3.2673	-4.91436	-5.43841	-4.2222
38	2	1	12	3	357	1	5	-5.3662	-6.04942	-5.49866	-7.7921
39	9	2	4	62	4	5	6	-3.7391	-5.26233	-5.80059	-6.60423
40	2	1	1	3	2	1	5	-4.63679	-3.79424	-6.09224	-7.24883
41	2	1	12	3	357	1	5	-5.3662	-6.04942	-5.49866	-7.7921
42	2	1	5	3	2	3	5	-4.25092	-3.25517	-5.29001	-4.86335
43	2	1	5	3	2	3	5	-4.25092	-3.25517	-5.29001	-4.86335
44	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
45	2	4	1	2	2	1	5	-2.79774	-3.67308	-4.16965	-4.13439
46	2	4	2	2	6	1	5	-6.10626	-4.83425	-5.96658	-7.52009
47	1	4	2	2	6	3	17	-4.65302	-2.44782	-4.45372	-5.53827
48	2	1	21	3	2	1	5	-2.95138	-2.49745	-4.29319	-4.55378
