Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.62277	-2.49155	-3.66097	-4.86303
1	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
2	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
3	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
4	9	25	2	10	22	3	6	-4.46592	-7.65087	-5.90949	-4.3677
5	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
6	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
7	4	7	10	4	42	51	1	-2.92883	-4.64365	-4.86031	-3.77709
8	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
9	10	81	50	99	120	76	52	-6.67073	-6.4008	-5.24716	-5.17934
10	2	1	21	3	2	1	5	-2.92997	-2.49284	-4.53812	-4.39902
11	2	1	21	3	2	1	5	-2.92997	-2.49284	-4.53812	-4.39902
12	9	25	2	10	22	3	6	-4.46592	-7.65087	-5.90949	-4.3677
13	2	1	21	3	2	1	5	-2.92997	-2.49284	-4.53812	-4.39902
14	10	27	16	19	10	5	7	-20.195	-12.895	-16.4909	-17.6002
15	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
16	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
17	9	2	4	62	4	5	6	-3.71772	-5.21275	-5.82419	-6.27934
18	9	53	2	53	11	3	3	-30.055	-27.0958	-26.4682	-26.1448
19	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
20	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
21	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
22	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
23	1	4	2	2	6	3	17	-4.6297	-2.45199	-4.74723	-5.42598
24	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
25	2	1	21	3	2	1	5	-2.92997	-2.49284	-4.53812	-4.39902
26	8	10	2	2	11	12	6	-3.95635	-7.32958	-7.5457	-6.69276
27	2	4	2	2	6	1	5	-6.08411	-4.83603	-5.99044	-7.59014
28	2	1	12	3	2	1	5	-2.62176	-2.11969	-3.71406	-4.57338
29	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
30	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
31	10	1	16	19	10	5	7	-6.14661	-2.75016	-4.268	-5.14875
32	1	2	3	4	5	9	3	-4.62277	-2.49155	-3.66097	-4.86303
33	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
34	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
35	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
36	4	7	10	4	1	7	1	-1.82521	-3.81166	-2.58669	-1.93808
37	129	66	30	82	189	47	17	-3.24647	-4.88478	-5.4982	-4.11771
38	2	1	12	3	357	1	5	-6.53773	-5.89045	-6.8383	-7.54286
39	9	2	4	62	4	5	6	-3.71772	-5.21275	-5.82419	-6.27934
40	2	1	1	3	2	1	5	-4.61514	-3.78971	-6.65559	-6.84316
41	2	1	12	3	357	1	5	-6.53773	-5.89045	-6.8383	-7.54286
42	2	1	5	3	2	3	5	-4.22974	-3.25544	-5.64958	-4.76223
43	2	1	5	3	2	3	5	-4.22974	-3.25544	-5.64958	-4.76223
44	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
45	2	4	1	2	2	1	5	-2.77675	-3.65532	-4.15727	-4.04308
46	2	4	2	2	6	1	5	-6.08411	-4.83603	-5.99044	-7.59014
47	1	4	2	2	6	3	17	-4.6297	-2.45199	-4.74723	-5.42598
48	2	1	21	3	2	1	5	-2.92997	-2.49284	-4.53812	-4.39902
49	2	1	2	3	2	3	5	-3.7601	-7.0847	-7.34389	-6.49146
