Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.51743	-2.45115	-3.56521	-4.80985
1	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
2	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
3	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
4	9	25	2	10	22	3	6	-4.48729	-8.52429	-5.93395	-4.38862
5	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
6	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
7	4	7	10	4	42	51	1	-2.94395	-4.7309	-4.80302	-3.83128
8	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
9	10	81	50	99	120	76	52	-6.67787	-6.37806	-5.23925	-5.17034
10	2	1	21	3	2	1	5	-2.92443	-2.4686	-4.31759	-4.48156
11	2	1	21	3	2	1	5	-2.92443	-2.4686	-4.31759	-4.48156
12	9	25	2	10	22	3	6	-4.48729	-8.52429	-5.93395	-4.38862
13	2	1	21	3	2	1	5	-2.92443	-2.4686	-4.31759	-4.48156
14	10	27	16	19	10	5	7	-19.6652	-13.0537	-16.0757	-17.14
15	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
16	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
17	9	2	4	62	4	5	6	-3.72953	-5.26647	-5.70243	-6.66181
18	9	53	2	53	11	3	3	-30.7893	-28.5927	-26.3149	-25.2892
19	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
20	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
21	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
22	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
23	1	4	2	2	6	3	17	-4.52534	-2.41288	-4.49743	-5.38745
24	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
25	2	1	21	3	2	1	5	-2.92443	-2.4686	-4.31759	-4.48156
26	8	10	2	2	11	12	6	-3.97137	-8.25374	-7.25611	-7.22006
27	2	4	2	2	6	1	5	-6.0473	-4.80131	-5.88975	-7.58213
28	2	1	12	3	2	1	5	-2.61352	-2.09446	-3.55979	-4.69371
29	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
30	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
31	10	1	16	19	10	5	7	-5.79743	-2.70851	-4.14327	-5.08537
32	1	2	3	4	5	9	3	-4.51743	-2.45115	-3.56521	-4.80985
33	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
34	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
35	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
36	4	7	10	4	1	7	1	-1.84272	-3.95235	-2.57915	-1.95418
37	129	66	30	82	189	47	17	-3.26132	-4.96306	-5.42015	-4.17848
38	2	1	12	3	357	1	5	-6.87691	-6.40103	-6.60109	-7.45667
39	9	2	4	62	4	5	6	-3.72953	-5.26647	-5.70243	-6.66181
40	2	1	1	3	2	1	5	-4.59947	-3.76186	-6.2252	-7.01217
41	2	1	12	3	357	1	5	-6.87691	-6.40103	-6.60109	-7.45667
42	2	1	5	3	2	3	5	-4.21141	-3.22584	-5.38578	-4.78405
43	2	1	5	3	2	3	5	-4.21141	-3.22584	-5.38578	-4.78405
44	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
45	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
46	2	4	2	2	6	1	5	-6.0473	-4.80131	-5.88975	-7.58213
47	1	4	2	2	6	3	17	-4.52534	-2.41288	-4.49743	-5.38745
48	2	1	21	3	2	1	5	-2.92443	-2.4686	-4.31759	-4.48156
49	2	1	2	3	2	3	5	-3.77529	-7.97943	-7.0543	-7.01349
50	2	1	21	3	2	1	5	-2.92443	-2.4686	-4.31759	-4.48156
51	7	17	2	15	23	3	12	-6.91793	-11.3057	-10.2047	-10.1665
52	2	4	1	2	7	1	5	-2.32378	-6.70182	-5.5256	-5.19742
53	9	2	4	62	4	5	6	-3.72953	-5.26647	-5.70243	-6.66181
54	2	4	1	2	7	1	5	-2.32378	-6.70182	-5.5256	-5.19742
55	9	2	4	62	4	5	6	-3.72953	-5.26647	-5.70243	-6.66181
56	2	1	12	88	2	1	5	-3.94035	-3.40761	-5.61673	-5.31303
57	2	1	5	3	2	3	5	-4.21141	-3.22584	-5.38578	-4.78405
58	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
59	9	2	4	62	4	5	6	-3.72953	-5.26647	-5.70243	-6.66181
60	2	1	5	3	2	3	5	-4.21141	-3.22584	-5.38578	-4.78405
61	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
62	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
63	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
64	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
65	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
66	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
67	1	2	215	4	90	24	8	-30.7972	-29.9004	-22.7707	-21.295
68	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
69	1	2	3	4	5	9	3	-4.51743	-2.45115	-3.56521	-4.80985
70	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
71	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
72	9	25	2	10	22	3	6	-4.48729	-8.52429	-5.93395	-4.38862
73	2	15	4	48	360	25	23	-6.70962	-9.51471	-5.67316	-4.93122
74	2	4	1	2	2	1	5	-2.7872	-3.66904	-4.08345	-4.1218
75	2	1	12	88	2	1	5	-3.94035	-3.40761	-5.61673	-5.31303
76	2	4	2	2	6	1	5	-6.0473	-4.80131	-5.88975	-7.58213
