Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.72146	-2.4757	-3.67383	-4.99091
1	4	7	10	4	1	7	1	-1.82162	-3.85276	-2.63129	-1.9328
2	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
3	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
4	9	25	2	10	22	3	6	-4.46451	-7.88763	-5.90904	-4.35435
5	4	7	10	4	1	7	1	-1.82162	-3.85276	-2.63129	-1.9328
6	4	7	10	4	1	7	1	-1.82162	-3.85276	-2.63129	-1.9328
7	4	7	10	4	42	51	1	-2.92628	-4.6539	-4.82046	-3.79113
8	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
9	10	81	50	99	120	76	52	-6.67497	-6.40704	-5.3219	-5.18011
10	2	1	21	3	2	1	5	-2.94381	-2.47969	-4.403	-4.48597
11	2	1	21	3	2	1	5	-2.94381	-2.47969	-4.403	-4.48597
12	9	25	2	10	22	3	6	-4.46451	-7.88763	-5.90904	-4.35435
13	2	1	21	3	2	1	5	-2.94381	-2.47969	-4.403	-4.48597
14	10	27	16	19	10	5	7	-20.8303	-12.9342	-16.1236	-17.4044
15	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
16	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
17	9	2	4	62	4	5	6	-3.71537	-5.20746	-5.77611	-6.59667
18	9	53	2	53	11	3	3	-29.2971	-27.6911	-24.3107	-24.919
19	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
20	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
21	4	7	10	4	1	7	1	-1.82162	-3.85276	-2.63129	-1.9328
22	2	4	1	2	2	1	5	-2.77493	-3.64903	-4.15596	-4.10694
23	1	4	2	2	6	3	17	-4.74421	-2.43614	-4.6131	-5.53321
24	4	7	10	4	1	7	1	-1.82162	-3.85276	-2.63129	-1.9328
