Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.69407	-2.46914	-3.67944	-4.98224
1	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
2	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
3	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
4	9	25	2	10	22	3	6	-4.45883	-7.58735	-5.90328	-4.34049
5	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
6	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
7	4	7	10	4	42	51	1	-2.90944	-4.63348	-4.87787	-3.7649
8	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
9	10	81	50	99	120	76	52	-6.74623	-6.3548	-5.27428	-5.16263
10	2	1	21	3	2	1	5	-2.92052	-2.47793	-4.53224	-4.46449
11	2	1	21	3	2	1	5	-2.92052	-2.47793	-4.53224	-4.46449
12	9	25	2	10	22	3	6	-4.45883	-7.58735	-5.90328	-4.34049
13	2	1	21	3	2	1	5	-2.92052	-2.47793	-4.53224	-4.46449
14	10	27	16	19	10	5	7	-21.0578	-13.1213	-16.3509	-17.7323
15	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
16	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
17	9	2	4	62	4	5	6	-3.69079	-5.20956	-5.87321	-6.43501
18	9	53	2	53	11	3	3	-30.9205	-27.8815	-26.0555	-25.7364
19	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
20	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
21	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
22	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
23	1	4	2	2	6	3	17	-4.70029	-2.43135	-4.72371	-5.59025
24	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
25	2	1	21	3	2	1	5	-2.92052	-2.47793	-4.53224	-4.46449
26	8	10	2	2	11	12	6	-3.92757	-7.46447	-7.67104	-6.83061
27	2	4	2	2	6	1	5	-6.09295	-4.81713	-6.01256	-7.8298
28	2	1	12	3	2	1	5	-2.61131	-2.1052	-3.72879	-4.7418
29	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
30	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
31	10	1	16	19	10	5	7	-6.53888	-2.7279	-4.27612	-5.2392
32	1	2	3	4	5	9	3	-4.69407	-2.46914	-3.67944	-4.98224
33	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
34	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
35	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
36	4	7	10	4	1	7	1	-1.81492	-3.7815	-2.60851	-1.91399
37	129	66	30	82	189	47	17	-3.22654	-4.87463	-5.50704	-4.10903
38	2	1	12	3	357	1	5	-6.7567	-6.02957	-6.68288	-7.74652
39	9	2	4	62	4	5	6	-3.69079	-5.20956	-5.87321	-6.43501
40	2	1	1	3	2	1	5	-4.61219	-3.77547	-6.6024	-7.08228
41	2	1	12	3	357	1	5	-6.7567	-6.02957	-6.68288	-7.74652
42	2	1	5	3	2	3	5	-4.2389	-3.23877	-5.60503	-4.77407
43	2	1	5	3	2	3	5	-4.2389	-3.23877	-5.60503	-4.77407
44	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
45	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
46	2	4	2	2	6	1	5	-6.09295	-4.81713	-6.01256	-7.8298
47	1	4	2	2	6	3	17	-4.70029	-2.43135	-4.72371	-5.59025
48	2	1	21	3	2	1	5	-2.92052	-2.47793	-4.53224	-4.46449
49	2	1	2	3	2	3	5	-3.73213	-7.22749	-7.46851	-6.62599
50	2	1	21	3	2	1	5	-2.92052	-2.47793	-4.53224	-4.46449
51	7	17	2	15	23	3	12	-6.87391	-10.4545	-10.6203	-9.77692
52	2	4	1	2	7	1	5	-2.2809	-5.84878	-5.88826	-4.90563
53	9	2	4	62	4	5	6	-3.69079	-5.20956	-5.87321	-6.43501
54	2	4	1	2	7	1	5	-2.2809	-5.84878	-5.88826	-4.90563
55	9	2	4	62	4	5	6	-3.69079	-5.20956	-5.87321	-6.43501
56	2	1	12	88	2	1	5	-3.93976	-3.41748	-5.89544	-5.28801
57	2	1	5	3	2	3	5	-4.2389	-3.23877	-5.60503	-4.77407
58	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
59	9	2	4	62	4	5	6	-3.69079	-5.20956	-5.87321	-6.43501
60	2	1	5	3	2	3	5	-4.2389	-3.23877	-5.60503	-4.77407
61	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
62	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
63	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
64	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
65	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
66	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
67	1	2	215	4	90	24	8	-31.3752	-27.6966	-22.3307	-22.1339
68	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
69	1	2	3	4	5	9	3	-4.69407	-2.46914	-3.67944	-4.98224
70	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
71	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
72	9	25	2	10	22	3	6	-4.45883	-7.58735	-5.90328	-4.34049
73	2	15	4	48	360	25	23	-6.76035	-8.7219	-5.67224	-4.90537
74	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
75	2	1	12	88	2	1	5	-3.93976	-3.41748	-5.89544	-5.28801
76	2	4	2	2	6	1	5	-6.09295	-4.81713	-6.01256	-7.8298
77	10	1	16	19	10	5	7	-6.53888	-2.7279	-4.27612	-5.2392
78	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
79	2	1	12	3	2	1	5	-2.61131	-2.1052	-3.72879	-4.7418
80	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
81	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
82	1	4	2	2	6	3	17	-4.70029	-2.43135	-4.72371	-5.59025
83	10	1	16	19	10	5	7	-6.53888	-2.7279	-4.27612	-5.2392
84	8	10	149	2	11	12	6	-4.87244	-3.95281	-5.7766	-7.09084
85	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
86	2	4	1	2	7	1	5	-2.2809	-5.84878	-5.88826	-4.90563
87	32	39	30	82	104	324	17	-8.54992	-4.65734	-7.65782	-8.93147
88	1	2	3	4	5	9	3	-4.69407	-2.46914	-3.67944	-4.98224
89	2	1	5	3	2	3	5	-4.2389	-3.23877	-5.60503	-4.77407
90	2	4	1	2	2	1	5	-2.75749	-3.64383	-4.18684	-4.06488
91	2	4	1	2	7	1	5	-2.2809	-5.84878	-5.88826	-4.90563
