Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.66456	-2.47114	-3.61282	-4.88399
1	4	7	10	4	1	7	1	-1.81574	-3.99657	-2.65623	-1.93099
2	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
3	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
4	9	25	2	10	22	3	6	-4.45552	-8.60729	-6.12507	-4.34838
5	4	7	10	4	1	7	1	-1.81574	-3.99657	-2.65623	-1.93099
6	4	7	10	4	1	7	1	-1.81574	-3.99657	-2.65623	-1.93099
7	4	7	10	4	42	51	1	-2.91176	-4.77335	-5.00392	-3.83192
8	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
9	10	81	50	99	120	76	52	-6.7284	-6.40076	-5.2628	-5.13225
10	2	1	21	3	2	1	5	-2.91936	-2.48302	-4.50577	-4.57039
11	2	1	21	3	2	1	5	-2.91936	-2.48302	-4.50577	-4.57039
12	9	25	2	10	22	3	6	-4.45552	-8.60729	-6.12507	-4.34838
13	2	1	21	3	2	1	5	-2.91936	-2.48302	-4.50577	-4.57039
14	10	27	16	19	10	5	7	-21.1004	-12.7106	-16.3213	-17.4974
15	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
16	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
17	9	2	4	62	4	5	6	-3.69444	-5.30989	-5.86696	-7.18788
18	9	53	2	53	11	3	3	-33.0434	-26.6424	-24.1995	-24.6332
19	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
20	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
21	4	7	10	4	1	7	1	-1.81574	-3.99657	-2.65623	-1.93099
22	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
23	1	4	2	2	6	3	17	-4.66298	-2.43068	-4.63587	-5.48402
24	4	7	10	4	1	7	1	-1.81574	-3.99657	-2.65623	-1.93099
25	2	1	21	3	2	1	5	-2.91936	-2.48302	-4.50577	-4.57039
26	8	10	2	2	11	12	6	-3.93211	-8.61877	-7.95716	-7.93291
27	2	4	2	2	6	1	5	-6.0871	-4.8185	-5.94324	-7.80808
28	2	1	12	3	2	1	5	-2.61122	-2.1085	-3.67107	-4.93492
29	2	4	1	2	2	1	5	-2.76221	-3.69425	-4.18949	-4.16926
30	4	7	10	4	1	7	1	-1.81574	-3.99657	-2.65623	-1.93099
31	10	1	16	19	10	5	7	-6.3698	-2.72722	-4.2063	-5.11772
32	1	2	3	4	5	9	3	-4.66456	-2.47114	-3.61282	-4.88399
