Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.73655	-2.48834	-3.47937	-4.95059
1	4	7	10	4	1	7	1	-1.81149	-3.78269	-2.58032	-1.92472
2	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
3	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
4	9	25	2	10	22	3	6	-4.45236	-7.62073	-5.8831	-4.34959
5	4	7	10	4	1	7	1	-1.81149	-3.78269	-2.58032	-1.92472
6	4	7	10	4	1	7	1	-1.81149	-3.78269	-2.58032	-1.92472
7	4	7	10	4	42	51	1	-2.91689	-4.63768	-4.72141	-3.78786
8	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
9	10	81	50	99	120	76	52	-6.65901	-6.36996	-5.26059	-5.15829
10	2	1	21	3	2	1	5	-2.9396	-2.49263	-4.07476	-4.49522
11	2	1	21	3	2	1	5	-2.9396	-2.49263	-4.07476	-4.49522
12	9	25	2	10	22	3	6	-4.45236	-7.62073	-5.8831	-4.34959
13	2	1	21	3	2	1	5	-2.9396	-2.49263	-4.07476	-4.49522
14	10	27	16	19	10	5	7	-21.2661	-12.938	-15.7658	-17.7402
15	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
16	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
17	9	2	4	62	4	5	6	-3.70574	-5.20727	-5.62219	-6.56444
18	9	53	2	53	11	3	3	-30.9694	-27.3771	-26.4663	-25.6107
19	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
20	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
21	4	7	10	4	1	7	1	-1.81149	-3.78269	-2.58032	-1.92472
22	2	4	1	2	2	1	5	-2.76798	-3.65021	-4.02651	-4.09238
23	1	4	2	2	6	3	17	-4.76262	-2.45127	-4.21943	-5.57062
24	4	7	10	4	1	7	1	-1.81149	-3.78269	-2.58032	-1.92472
