Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.58942	-2.46261	-3.55347	-4.84117
1	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
2	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
3	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
4	9	25	2	10	22	3	6	-4.48247	-8.56017	-6.25846	-4.35445
5	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
6	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
7	4	7	10	4	42	51	1	-2.94018	-4.7564	-5.01763	-3.80568
8	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
9	10	81	50	99	120	76	52	-6.70402	-6.40843	-5.26445	-5.11544
10	2	1	21	3	2	1	5	-2.9312	-2.47282	-4.39428	-4.5486
11	2	1	21	3	2	1	5	-2.9312	-2.47282	-4.39428	-4.5486
12	9	25	2	10	22	3	6	-4.48247	-8.56017	-6.25846	-4.35445
13	2	1	21	3	2	1	5	-2.9312	-2.47282	-4.39428	-4.5486
14	10	27	16	19	10	5	7	-19.803	-12.7224	-16.0637	-18.2411
15	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
16	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
17	9	2	4	62	4	5	6	-3.72765	-5.29405	-5.78483	-6.65656
18	9	53	2	53	11	3	3	-30.481	-27.9065	-24.3371	-25.4652
19	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
20	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
21	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
22	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
23	1	4	2	2	6	3	17	-4.58893	-2.42095	-4.51055	-5.62463
24	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
25	2	1	21	3	2	1	5	-2.9312	-2.47282	-4.39428	-4.5486
26	8	10	2	2	11	12	6	-3.96704	-8.44525	-7.70967	-7.22637
27	2	4	2	2	6	1	5	-6.07494	-4.80993	-5.87885	-7.64589
28	2	1	12	3	2	1	5	-2.62211	-2.09891	-3.58164	-4.80335
29	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
30	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
31	10	1	16	19	10	5	7	-6.0049	-2.71831	-4.13733	-5.14679
32	1	2	3	4	5	9	3	-4.58942	-2.46261	-3.55347	-4.84117
33	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
34	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
35	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
36	4	7	10	4	1	7	1	-1.83955	-3.99387	-2.67624	-1.91746
37	129	66	30	82	189	47	17	-3.25822	-4.98483	-5.73346	-4.15255
38	2	1	12	3	357	1	5	-6.88769	-6.39142	-5.51068	-7.40495
39	9	2	4	62	4	5	6	-3.72765	-5.29405	-5.78483	-6.65656
40	2	1	1	3	2	1	5	-4.60928	-3.764	-6.30505	-7.43184
41	2	1	12	3	357	1	5	-6.88769	-6.39142	-5.51068	-7.40495
42	2	1	5	3	2	3	5	-4.22613	-3.22863	-5.51685	-4.81963
43	2	1	5	3	2	3	5	-4.22613	-3.22863	-5.51685	-4.81963
44	2	4	1	2	2	1	5	-2.785	-3.68341	-4.15147	-4.09449
