Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.5888	-2.47478	-3.61364	-5.02168
1	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
2	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
3	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
4	9	25	2	10	22	3	6	-4.46972	-7.92974	-6.05856	-4.35218
5	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
6	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
7	4	7	10	4	42	51	1	-2.92766	-4.66552	-4.96744	-3.78994
8	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
9	10	81	50	99	120	76	52	-6.70646	-6.32766	-5.24094	-5.15264
10	2	1	21	3	2	1	5	-2.91991	-2.49198	-4.52527	-4.55943
11	2	1	21	3	2	1	5	-2.91991	-2.49198	-4.52527	-4.55943
12	9	25	2	10	22	3	6	-4.46972	-7.92974	-6.05856	-4.35218
13	2	1	21	3	2	1	5	-2.91991	-2.49198	-4.52527	-4.55943
14	10	27	16	19	10	5	7	-19.9276	-13.2244	-16.3215	-18.7468
15	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
16	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
17	9	2	4	62	4	5	6	-3.71461	-5.21412	-5.86194	-6.55669
18	9	53	2	53	11	3	3	-30.5017	-28.1047	-25.285	-25.4289
19	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
20	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
21	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
22	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
23	1	4	2	2	6	3	17	-4.58264	-2.44323	-4.66971	-5.79795
24	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
25	2	1	21	3	2	1	5	-2.91991	-2.49198	-4.52527	-4.55943
26	8	10	2	2	11	12	6	-3.95372	-7.50981	-7.94253	-6.98522
27	2	4	2	2	6	1	5	-6.06767	-4.82288	-5.94535	-7.9126
28	2	1	12	3	2	1	5	-2.61141	-2.11588	-3.68112	-4.88396
29	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
30	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
31	10	1	16	19	10	5	7	-6.0244	-2.73644	-4.21382	-5.29864
32	1	2	3	4	5	9	3	-4.5888	-2.47478	-3.61364	-5.02168
33	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
34	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
35	2	4	1	2	2	1	5	-2.77371	-3.65234	-4.17551	-4.09528
36	4	7	10	4	1	7	1	-1.82833	-3.80252	-2.62379	-1.9222
37	129	66	30	82	189	47	17	-3.24514	-4.91153	-5.66073	-4.13578
38	2	1	12	3	357	1	5	-6.78105	-6.06676	-6.14771	-7.64247
39	9	2	4	62	4	5	6	-3.71461	-5.21412	-5.86194	-6.55669
40	2	1	1	3	2	1	5	-4.59924	-3.79026	-6.59284	-7.46358
41	2	1	12	3	357	1	5	-6.78105	-6.06676	-6.14771	-7.64247
42	2	1	5	3	2	3	5	-4.21536	-3.25517	-5.64759	-4.83201
43	2	1	5	3	2	3	5	-4.21536	-3.25517	-5.64759	-4.83201
