Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.78409	-2.51134	-3.62747	-4.93374
1	4	7	10	4	1	7	1	-1.81551	-3.92288	-2.62536	-1.91454
2	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
3	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
4	9	25	2	10	22	3	6	-4.4589	-8.05017	-5.9461	-4.34802
5	4	7	10	4	1	7	1	-1.81551	-3.92288	-2.62536	-1.91454
6	4	7	10	4	1	7	1	-1.81551	-3.92288	-2.62536	-1.91454
7	4	7	10	4	42	51	1	-2.91814	-4.73134	-4.96105	-3.78713
8	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
9	10	81	50	99	120	76	52	-6.68513	-6.43268	-5.25799	-5.13342
10	2	1	21	3	2	1	5	-2.94734	-2.50823	-4.49218	-4.5372
11	2	1	21	3	2	1	5	-2.94734	-2.50823	-4.49218	-4.5372
12	9	25	2	10	22	3	6	-4.4589	-8.05017	-5.9461	-4.34802
13	2	1	21	3	2	1	5	-2.94734	-2.50823	-4.49218	-4.5372
14	10	27	16	19	10	5	7	-22.0986	-12.4861	-16.1561	-18.4679
15	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
16	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
17	9	2	4	62	4	5	6	-3.70332	-5.28223	-5.98051	-6.54351
18	9	53	2	53	11	3	3	-30.5676	-27.0026	-27.3578	-25.4731
19	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
20	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
21	4	7	10	4	1	7	1	-1.81551	-3.92288	-2.62536	-1.91454
22	2	4	1	2	2	1	5	-2.76916	-3.69382	-4.21665	-4.08131
23	1	4	2	2	6	3	17	-4.8224	-2.46978	-4.59768	-5.70874
24	4	7	10	4	1	7	1	-1.81551	-3.92288	-2.62536	-1.91454
25	2	1	21	3	2	1	5	-2.94734	-2.50823	-4.49218	-4.5372
26	8	10	2	2	11	12	6	-3.9389	-7.6905	-8.70117	-7.01293
27	2	4	2	2	6	1	5	-6.13478	-4.8519	-5.97035	-7.77058
