Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.51092	-2.4988	-3.65701	-4.89902
1	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
2	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
3	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
4	9	25	2	10	22	3	6	-4.46906	-7.52845	-6.01448	-4.36761
5	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
6	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
7	4	7	10	4	42	51	1	-2.93675	-4.67287	-4.88479	-3.82587
8	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
9	10	81	50	99	120	76	52	-6.62473	-6.34628	-5.31555	-5.1326
10	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
11	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
12	9	25	2	10	22	3	6	-4.46906	-7.52845	-6.01448	-4.36761
13	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
14	10	27	16	19	10	5	7	-19.8448	-12.7453	-16.0558	-18.3916
15	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
16	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
17	9	2	4	62	4	5	6	-3.7267	-5.2582	-5.78595	-6.76956
18	9	53	2	53	11	3	3	-31.8183	-29.276	-23.582	-24.6299
19	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
20	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
21	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
22	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
23	1	4	2	2	6	3	17	-4.51752	-2.46142	-4.628	-5.69907
24	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
25	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
26	8	10	2	2	11	12	6	-3.96874	-7.6233	-7.33257	-7.34951
27	2	4	2	2	6	1	5	-6.04634	-4.84355	-5.98169	-7.74698
28	2	1	12	3	2	1	5	-2.61178	-2.12946	-3.66096	-4.8953
29	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
30	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
31	10	1	16	19	10	5	7	-5.77618	-2.75743	-4.24578	-5.19382
32	1	2	3	4	5	9	3	-4.51092	-2.4988	-3.65701	-4.89902
33	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
34	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
35	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
36	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
37	129	66	30	82	189	47	17	-3.25323	-4.91537	-5.50961	-4.17292
38	2	1	12	3	357	1	5	-7.15854	-7.15252	-5.49248	-7.10013
39	9	2	4	62	4	5	6	-3.7267	-5.2582	-5.78595	-6.76956
40	2	1	1	3	2	1	5	-4.59937	-3.79975	-6.38021	-7.58322
41	2	1	12	3	357	1	5	-7.15854	-7.15252	-5.49248	-7.10013
42	2	1	5	3	2	3	5	-4.20193	-3.26292	-5.52119	-4.8445
43	2	1	5	3	2	3	5	-4.20193	-3.26292	-5.52119	-4.8445
44	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
45	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
46	2	4	2	2	6	1	5	-6.04634	-4.84355	-5.98169	-7.74698
47	1	4	2	2	6	3	17	-4.51752	-2.46142	-4.628	-5.69907
48	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
49	2	1	2	3	2	3	5	-3.77374	-7.35736	-7.12855	-7.14619
50	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
51	7	17	2	15	23	3	12	-6.91483	-10.6461	-10.2819	-10.2954
52	2	4	1	2	7	1	5	-2.32232	-6.02761	-5.601	-5.27739
53	9	2	4	62	4	5	6	-3.7267	-5.2582	-5.78595	-6.76956
54	2	4	1	2	7	1	5	-2.32232	-6.02761	-5.601	-5.27739
55	9	2	4	62	4	5	6	-3.7267	-5.2582	-5.78595	-6.76956
56	2	1	12	88	2	1	5	-3.93557	-3.44401	-5.75574	-5.41902
57	2	1	5	3	2	3	5	-4.20193	-3.26292	-5.52119	-4.8445
58	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
59	9	2	4	62	4	5	6	-3.7267	-5.2582	-5.78595	-6.76956
60	2	1	5	3	2	3	5	-4.20193	-3.26292	-5.52119	-4.8445
61	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
62	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
63	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
64	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
65	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
66	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
67	1	2	215	4	90	24	8	-31.4925	-30.2043	-19.0158	-19.8806
68	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
69	1	2	3	4	5	9	3	-4.51092	-2.4988	-3.65701	-4.89902
70	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
71	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
72	9	25	2	10	22	3	6	-4.46906	-7.52845	-6.01448	-4.36761
73	2	15	4	48	360	25	23	-6.63278	-8.3932	-5.74734	-4.90154
74	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
75	2	1	12	88	2	1	5	-3.93557	-3.44401	-5.75574	-5.41902
76	2	4	2	2	6	1	5	-6.04634	-4.84355	-5.98169	-7.74698
77	10	1	16	19	10	5	7	-5.77618	-2.75743	-4.24578	-5.19382
78	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
79	2	1	12	3	2	1	5	-2.61178	-2.12946	-3.66096	-4.8953
80	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
81	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
82	1	4	2	2	6	3	17	-4.51752	-2.46142	-4.628	-5.69907
83	10	1	16	19	10	5	7	-5.77618	-2.75743	-4.24578	-5.19382
84	8	10	149	2	11	12	6	-4.85159	-3.98752	-5.70204	-7.27133
85	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
86	2	4	1	2	7	1	5	-2.32232	-6.02761	-5.601	-5.27739
87	32	39	30	82	104	324	17	-7.78093	-4.69131	-7.46376	-9.39677
88	1	2	3	4	5	9	3	-4.51092	-2.4988	-3.65701	-4.89902
89	2	1	5	3	2	3	5	-4.20193	-3.26292	-5.52119	-4.8445
90	2	4	1	2	2	1	5	-2.78399	-3.67275	-4.16574	-4.12746
91	2	4	1	2	7	1	5	-2.32232	-6.02761	-5.601	-5.27739
92	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
93	2	1	2	3	2	3	5	-3.77374	-7.35736	-7.12855	-7.14619
94	2	1	12	3	2	1	5	-2.61178	-2.12946	-3.66096	-4.8953
95	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
96	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
97	9	2	5	2	11	3	1	-30.1507	-31.2318	-28.0848	-26.6974
98	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
99	2	1	2	3	2	3	5	-3.77374	-7.35736	-7.12855	-7.14619
100	2	1	21	3	2	1	5	-2.92076	-2.50346	-4.43463	-4.59597
101	4	7	10	4	1	7	1	-1.83005	-3.78124	-2.6521	-1.93342
