Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.73445	-2.45676	-3.53192	-5.05067
1	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
2	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
3	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
4	9	25	2	10	22	3	6	-4.44792	-8.58177	-6.5213	-4.37424
5	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
6	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
7	4	7	10	4	42	51	1	-2.9096	-4.74265	-5.19725	-3.77879
8	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
9	10	81	50	99	120	76	52	-6.6996	-6.41195	-5.38368	-5.18518
10	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
11	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
12	9	25	2	10	22	3	6	-4.44792	-8.58177	-6.5213	-4.37424
13	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
14	10	27	16	19	10	5	7	-21.4356	-12.8186	-15.1928	-19.2932
15	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
16	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
17	9	2	4	62	4	5	6	-3.6958	-5.27835	-5.91552	-6.29212
18	9	53	2	53	11	3	3	-30.9965	-29.3269	-27.0752	-24.6693
19	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
20	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
21	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
22	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
23	1	4	2	2	6	3	17	-4.74208	-2.41518	-4.29268	-5.85505
24	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
25	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
26	8	10	2	2	11	12	6	-3.93184	-8.28612	-8.48205	-6.66738
27	2	4	2	2	6	1	5	-6.11385	-4.80481	-5.86686	-7.85893
28	2	1	12	3	2	1	5	-2.62294	-2.09425	-3.5224	-4.77005
29	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
30	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
31	10	1	16	19	10	5	7	-6.71645	-2.71266	-4.06899	-5.35884
32	1	2	3	4	5	9	3	-4.73445	-2.45676	-3.53192	-5.05067
33	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
34	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
35	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
36	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
37	129	66	30	82	189	47	17	-3.2263	-4.97134	-5.93672	-4.12797
38	2	1	12	3	357	1	5	-6.67211	-6.99674	-7.18137	-7.35507
39	9	2	4	62	4	5	6	-3.6958	-5.27835	-5.91552	-6.29212
40	2	1	1	3	2	1	5	-4.62761	-3.75956	-5.9632	-7.28847
41	2	1	12	3	357	1	5	-6.67211	-6.99674	-7.18137	-7.35507
42	2	1	5	3	2	3	5	-4.24748	-3.22436	-5.26826	-4.84796
43	2	1	5	3	2	3	5	-4.24748	-3.22436	-5.26826	-4.84796
44	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
45	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
46	2	4	2	2	6	1	5	-6.11385	-4.80481	-5.86686	-7.85893
47	1	4	2	2	6	3	17	-4.74208	-2.41518	-4.29268	-5.85505
48	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
49	2	1	2	3	2	3	5	-3.73698	-7.98698	-8.27251	-6.46258
50	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
51	7	17	2	15	23	3	12	-6.87793	-11.3733	-11.4457	-9.61385
52	2	4	1	2	7	1	5	-2.28569	-6.7661	-6.67788	-4.78767
53	9	2	4	62	4	5	6	-3.6958	-5.27835	-5.91552	-6.29212
54	2	4	1	2	7	1	5	-2.28569	-6.7661	-6.67788	-4.78767
55	9	2	4	62	4	5	6	-3.6958	-5.27835	-5.91552	-6.29212
56	2	1	12	88	2	1	5	-3.94872	-3.40676	-5.50103	-5.35481
57	2	1	5	3	2	3	5	-4.24748	-3.22436	-5.26826	-4.84796
58	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
59	9	2	4	62	4	5	6	-3.6958	-5.27835	-5.91552	-6.29212
60	2	1	5	3	2	3	5	-4.24748	-3.22436	-5.26826	-4.84796
61	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
62	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
63	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
64	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
65	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
66	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
67	1	2	215	4	90	24	8	-30.614	-31.4866	-24.6274	-20.853
68	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
69	1	2	3	4	5	9	3	-4.73445	-2.45676	-3.53192	-5.05067
70	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
71	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
72	9	25	2	10	22	3	6	-4.44792	-8.58177	-6.5213	-4.37424
73	2	15	4	48	360	25	23	-6.68473	-9.94795	-5.90602	-4.93806
74	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
75	2	1	12	88	2	1	5	-3.94872	-3.40676	-5.50103	-5.35481
76	2	4	2	2	6	1	5	-6.11385	-4.80481	-5.86686	-7.85893
77	10	1	16	19	10	5	7	-6.71645	-2.71266	-4.06899	-5.35884
78	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
79	2	1	12	3	2	1	5	-2.62294	-2.09425	-3.5224	-4.77005
80	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
81	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
82	1	4	2	2	6	3	17	-4.74208	-2.41518	-4.29268	-5.85505
83	10	1	16	19	10	5	7	-6.71645	-2.71266	-4.06899	-5.35884
84	8	10	149	2	11	12	6	-4.88724	-3.94467	-5.5094	-7.19867
85	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
86	2	4	1	2	7	1	5	-2.28569	-6.7661	-6.67788	-4.78767
87	32	39	30	82	104	324	17	-8.77427	-4.64128	-6.8797	-10.554
88	1	2	3	4	5	9	3	-4.73445	-2.45676	-3.53192	-5.05067
89	2	1	5	3	2	3	5	-4.24748	-3.22436	-5.26826	-4.84796
90	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
91	2	4	1	2	7	1	5	-2.28569	-6.7661	-6.67788	-4.78767
92	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
93	2	1	2	3	2	3	5	-3.73698	-7.98698	-8.27251	-6.46258
94	2	1	12	3	2	1	5	-2.62294	-2.09425	-3.5224	-4.77005
95	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
96	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
97	9	2	5	2	11	3	1	-30.1646	-32.9234	-28.3749	-25.7085
98	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
99	2	1	2	3	2	3	5	-3.73698	-7.98698	-8.27251	-6.46258
100	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
101	4	7	10	4	1	7	1	-1.80915	-3.99023	-2.82749	-1.93341
102	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
103	1	4	2	2	6	3	17	-4.74208	-2.41518	-4.29268	-5.85505
104	2	4	5	2	10	1	5	-6.8723	-11.3517	-11.4209	-9.60065
105	2	1	12	88	2	1	5	-3.94872	-3.40676	-5.50103	-5.35481
106	9	2	4	62	4	5	6	-3.6958	-5.27835	-5.91552	-6.29212
107	2	165	73	147	220	190	104	-8.76411	-10.5662	-7.44968	-5.27906
108	2	1	21	3	2	1	5	-2.92989	-2.46786	-4.25676	-4.51716
109	2	4	1	2	2	1	5	-2.76189	-3.6755	-4.2423	-4.05896
110	2	1	12	3	11	1	6	-19.4659	-17.732	-19.7986	-20.514
111	2	1	2	3	2	3	5	-3.73698	-7.98698	-8.27251	-6.46258
