Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.69509	-2.4958	-3.57835	-4.84589
1	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
2	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
3	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
4	9	25	2	10	22	3	6	-4.45721	-7.38755	-6.07492	-4.35829
5	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
6	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
7	4	7	10	4	42	51	1	-2.91655	-4.6026	-4.88107	-3.78997
8	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
9	10	81	50	99	120	76	52	-6.67911	-6.37777	-5.25913	-5.13417
10	2	1	21	3	2	1	5	-2.93173	-2.49272	-4.37237	-4.48835
11	2	1	21	3	2	1	5	-2.93173	-2.49272	-4.37237	-4.48835
12	9	25	2	10	22	3	6	-4.45721	-7.38755	-6.07492	-4.35829
13	2	1	21	3	2	1	5	-2.93173	-2.49272	-4.37237	-4.48835
14	10	27	16	19	10	5	7	-20.9998	-12.8521	-16.1609	-18.2008
15	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
16	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
17	9	2	4	62	4	5	6	-3.70244	-5.18937	-5.71174	-6.44172
18	9	53	2	53	11	3	3	-32.3797	-29.9058	-25.5879	-25.9618
19	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
20	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
21	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
22	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
23	1	4	2	2	6	3	17	-4.71751	-2.45667	-4.54838	-5.57681
24	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
25	2	1	21	3	2	1	5	-2.93173	-2.49272	-4.37237	-4.48835
26	8	10	2	2	11	12	6	-3.93956	-7.15983	-7.28636	-6.92634
27	2	4	2	2	6	1	5	-6.10201	-4.83876	-5.89945	-7.60708
28	2	1	12	3	2	1	5	-2.62291	-2.11992	-3.58335	-4.6972
29	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
30	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
31	10	1	16	19	10	5	7	-6.51913	-2.75507	-4.16733	-5.15553
32	1	2	3	4	5	9	3	-4.69509	-2.4958	-3.57835	-4.84589
33	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
34	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
35	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
36	4	7	10	4	1	7	1	-1.81448	-3.73459	-2.62411	-1.92259
37	129	66	30	82	189	47	17	-3.23418	-4.84752	-5.53133	-4.1339
38	2	1	12	3	357	1	5	-7.58441	-7.35728	-6.2164	-7.47407
39	9	2	4	62	4	5	6	-3.70244	-5.18937	-5.71174	-6.44172
40	2	1	1	3	2	1	5	-4.62609	-3.79125	-6.30459	-7.1909
41	2	1	12	3	357	1	5	-7.58441	-7.35728	-6.2164	-7.47407
42	2	1	5	3	2	3	5	-4.24739	-3.25665	-5.48927	-4.80418
43	2	1	5	3	2	3	5	-4.24739	-3.25665	-5.48927	-4.80418
44	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
45	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
46	2	4	2	2	6	1	5	-6.10201	-4.83876	-5.89945	-7.60708
47	1	4	2	2	6	3	17	-4.71751	-2.45667	-4.54838	-5.57681
48	2	1	21	3	2	1	5	-2.93173	-2.49272	-4.37237	-4.48835
49	2	1	2	3	2	3	5	-3.74391	-6.91725	-7.08476	-6.72577
50	2	1	21	3	2	1	5	-2.93173	-2.49272	-4.37237	-4.48835
51	7	17	2	15	23	3	12	-6.886	-10.1493	-10.2349	-9.87208
52	2	4	1	2	7	1	5	-2.29239	-5.54189	-5.56586	-4.98366
53	9	2	4	62	4	5	6	-3.70244	-5.18937	-5.71174	-6.44172
54	2	4	1	2	7	1	5	-2.29239	-5.54189	-5.56586	-4.98366
55	9	2	4	62	4	5	6	-3.70244	-5.18937	-5.71174	-6.44172
56	2	1	12	88	2	1	5	-3.95106	-3.43344	-5.70814	-5.32931
57	2	1	5	3	2	3	5	-4.24739	-3.25665	-5.48927	-4.80418
58	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
59	9	2	4	62	4	5	6	-3.70244	-5.18937	-5.71174	-6.44172
60	2	1	5	3	2	3	5	-4.24739	-3.25665	-5.48927	-4.80418
61	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
62	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
63	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
64	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
65	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
66	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
67	1	2	215	4	90	24	8	-33.1721	-31.34	-21.6787	-21.7315
68	2	4	1	2	2	1	5	-2.7658	-3.64082	-4.10921	-4.06268
69	1	2	3	4	5	9	3	-4.69509	-2.4958	-3.57835	-4.84589
