Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.70965	-2.48184	-3.63808	-5.00485
1	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
2	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
3	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
4	9	25	2	10	22	3	6	-4.47162	-7.66707	-5.94121	-4.35505
5	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
6	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
7	4	7	10	4	42	51	1	-2.93591	-4.67606	-4.85226	-3.75891
8	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
9	10	81	50	99	120	76	52	-6.66695	-6.3822	-5.25971	-5.16937
10	2	1	21	3	2	1	5	-2.95145	-2.48784	-4.4584	-4.46648
11	2	1	21	3	2	1	5	-2.95145	-2.48784	-4.4584	-4.46648
12	9	25	2	10	22	3	6	-4.47162	-7.66707	-5.94121	-4.35505
13	2	1	21	3	2	1	5	-2.95145	-2.48784	-4.4584	-4.46648
14	10	27	16	19	10	5	7	-20.719	-12.8885	-16.5249	-18.922
15	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
16	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
17	9	2	4	62	4	5	6	-3.72582	-5.25318	-5.77875	-6.2201
18	9	53	2	53	11	3	3	-27.9157	-26.7369	-24.9503	-24.5973
19	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
20	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
21	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
22	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
23	1	4	2	2	6	3	17	-4.73272	-2.44135	-4.65646	-5.75434
24	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
25	2	1	21	3	2	1	5	-2.95145	-2.48784	-4.4584	-4.46648
26	8	10	2	2	11	12	6	-3.96276	-7.70498	-7.3974	-6.59109
27	2	4	2	2	6	1	5	-6.12188	-4.8289	-5.96355	-7.78247
28	2	1	12	3	2	1	5	-2.64343	-2.11544	-3.66335	-4.69236
29	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
30	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
31	10	1	16	19	10	5	7	-6.49601	-2.73887	-4.2319	-5.31161
32	1	2	3	4	5	9	3	-4.70965	-2.48184	-3.63808	-5.00485
33	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
34	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
35	2	4	1	2	2	1	5	-2.78507	-3.6686	-4.14046	-4.02942
36	4	7	10	4	1	7	1	-1.82977	-3.83717	-2.60297	-1.92202
37	129	66	30	82	189	47	17	-3.25442	-4.91292	-5.47936	-4.10151
38	2	1	12	3	357	1	5	-5.58595	-5.69385	-5.8142	-6.92791
39	9	2	4	62	4	5	6	-3.72582	-5.25318	-5.77875	-6.2201
40	2	1	1	3	2	1	5	-4.64413	-3.78309	-6.4759	-7.14424
41	2	1	12	3	357	1	5	-5.58595	-5.69385	-5.8142	-6.92791
42	2	1	5	3	2	3	5	-4.26351	-3.24617	-5.55631	-4.81548
