Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.64426	-2.47813	-3.63024	-4.81872
1	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
2	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
3	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
4	9	25	2	10	22	3	6	-4.45369	-7.44261	-6.18347	-4.36514
5	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
6	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
7	4	7	10	4	42	51	1	-2.91137	-4.57281	-5.02536	-3.77906
8	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
9	10	81	50	99	120	76	52	-6.70112	-6.35863	-5.22779	-5.19812
10	2	1	21	3	2	1	5	-2.91805	-2.48284	-4.64781	-4.33979
11	2	1	21	3	2	1	5	-2.91805	-2.48284	-4.64781	-4.33979
12	9	25	2	10	22	3	6	-4.45369	-7.44261	-6.18347	-4.36514
13	2	1	21	3	2	1	5	-2.91805	-2.48284	-4.64781	-4.33979
14	10	27	16	19	10	5	7	-21.1096	-13.3114	-16.9313	-16.8338
15	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
16	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
17	9	2	4	62	4	5	6	-3.69429	-5.148	-5.83266	-6.36471
18	9	53	2	53	11	3	3	-31.8686	-29.861	-28.1515	-24.2734
19	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
20	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
21	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
22	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
23	1	4	2	2	6	3	17	-4.65143	-2.44256	-4.81967	-5.21841
24	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
25	2	1	21	3	2	1	5	-2.91805	-2.48284	-4.64781	-4.33979
26	8	10	2	2	11	12	6	-3.93266	-7.04334	-7.82771	-6.78568
27	2	4	2	2	6	1	5	-6.07981	-4.82415	-5.95437	-7.55459
28	2	1	12	3	2	1	5	-2.60932	-2.10964	-3.72437	-4.51496
29	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
30	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
31	10	1	16	19	10	5	7	-6.29893	-2.73937	-4.25854	-5.06273
32	1	2	3	4	5	9	3	-4.64426	-2.47813	-3.63024	-4.81872
33	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
34	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
35	2	4	1	2	2	1	5	-2.76167	-3.6198	-4.17816	-4.05986
36	4	7	10	4	1	7	1	-1.81338	-3.7119	-2.63715	-1.94295
37	129	66	30	82	189	47	17	-3.22715	-4.82062	-5.77098	-4.11918
38	2	1	12	3	357	1	5	-6.78923	-6.86234	-7.35309	-6.75652
