Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.72371	-2.5198	-3.64816	-4.98864
1	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
2	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
3	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
4	9	25	2	10	22	3	6	-4.47077	-7.4946	-5.9046	-4.40278
5	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
6	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
7	4	7	10	4	42	51	1	-2.93636	-4.698	-4.74908	-3.81439
8	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
9	10	81	50	99	120	76	52	-6.65232	-6.32685	-5.28432	-5.20876
10	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
11	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
12	9	25	2	10	22	3	6	-4.47077	-7.4946	-5.9046	-4.40278
13	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
14	10	27	16	19	10	5	7	-21.0899	-12.7266	-16.4876	-17.7728
15	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
16	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
17	9	2	4	62	4	5	6	-3.7255	-5.28848	-5.64057	-6.41067
18	9	53	2	53	11	3	3	-30.3146	-26.4716	-25.5943	-24.2544
19	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
20	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
21	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
22	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
23	1	4	2	2	6	3	17	-4.75808	-2.4852	-4.64294	-5.67422
24	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
25	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
26	8	10	2	2	11	12	6	-3.96258	-7.74187	-6.8999	-6.82321
27	2	4	2	2	6	1	5	-6.12811	-4.86456	-5.96134	-7.78039
28	2	1	12	3	2	1	5	-2.64796	-2.15233	-3.61818	-4.75212
29	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
30	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
31	10	1	16	19	10	5	7	-6.58383	-2.77941	-4.24577	-5.28066
32	1	2	3	4	5	9	3	-4.72371	-2.5198	-3.64816	-4.98864
33	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
34	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
35	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
36	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
37	129	66	30	82	189	47	17	-3.25438	-4.94342	-5.33519	-4.16596
38	2	1	12	3	357	1	5	-6.62495	-5.81423	-6.20273	-7.2411
39	9	2	4	62	4	5	6	-3.7255	-5.28848	-5.64057	-6.41067
40	2	1	1	3	2	1	5	-4.65365	-3.82419	-6.34351	-7.16077
41	2	1	12	3	357	1	5	-6.62495	-5.81423	-6.20273	-7.2411
42	2	1	5	3	2	3	5	-4.27168	-3.28642	-5.49537	-4.84165
43	2	1	5	3	2	3	5	-4.27168	-3.28642	-5.49537	-4.84165
44	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
45	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
46	2	4	2	2	6	1	5	-6.12811	-4.86456	-5.96134	-7.78039
47	1	4	2	2	6	3	17	-4.75808	-2.4852	-4.64294	-5.67422
48	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
49	2	1	2	3	2	3	5	-3.76679	-7.46791	-6.69954	-6.61554
50	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
51	7	17	2	15	23	3	12	-6.90908	-10.7762	-9.84721	-9.77001
52	2	4	1	2	7	1	5	-2.31505	-6.1513	-5.19599	-4.91321
53	9	2	4	62	4	5	6	-3.7255	-5.28848	-5.64057	-6.41067
54	2	4	1	2	7	1	5	-2.31505	-6.1513	-5.19599	-4.91321
55	9	2	4	62	4	5	6	-3.7255	-5.28848	-5.64057	-6.41067
56	2	1	12	88	2	1	5	-3.97591	-3.46857	-5.69079	-5.35181
57	2	1	5	3	2	3	5	-4.27168	-3.28642	-5.49537	-4.84165
58	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
59	9	2	4	62	4	5	6	-3.7255	-5.28848	-5.64057	-6.41067
60	2	1	5	3	2	3	5	-4.27168	-3.28642	-5.49537	-4.84165
61	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
62	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
63	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
64	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
65	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
66	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
67	1	2	215	4	90	24	8	-29.9364	-25.9081	-21.5944	-20.3884
68	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
69	1	2	3	4	5	9	3	-4.72371	-2.5198	-3.64816	-4.98864
70	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
71	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
72	9	25	2	10	22	3	6	-4.47077	-7.4946	-5.9046	-4.40278
73	2	15	4	48	360	25	23	-6.65035	-8.18355	-5.71279	-4.95968
74	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
75	2	1	12	88	2	1	5	-3.97591	-3.46857	-5.69079	-5.35181
76	2	4	2	2	6	1	5	-6.12811	-4.86456	-5.96134	-7.78039
77	10	1	16	19	10	5	7	-6.58383	-2.77941	-4.24577	-5.28066
78	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
79	2	1	12	3	2	1	5	-2.64796	-2.15233	-3.61818	-4.75212
80	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
81	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
82	1	4	2	2	6	3	17	-4.75808	-2.4852	-4.64294	-5.67422
83	10	1	16	19	10	5	7	-6.58383	-2.77941	-4.24577	-5.28066
84	8	10	149	2	11	12	6	-4.91255	-4.01175	-5.67138	-7.10843
85	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
86	2	4	1	2	7	1	5	-2.31505	-6.1513	-5.19599	-4.91321
87	32	39	30	82	104	324	17	-8.76681	-4.71615	-7.53755	-9.19422
88	1	2	3	4	5	9	3	-4.72371	-2.5198	-3.64816	-4.98864
89	2	1	5	3	2	3	5	-4.27168	-3.28642	-5.49537	-4.84165
90	2	4	1	2	2	1	5	-2.78679	-3.69439	-4.08319	-4.09962
91	2	4	1	2	7	1	5	-2.31505	-6.1513	-5.19599	-4.91321
92	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
93	2	1	2	3	2	3	5	-3.76679	-7.46791	-6.69954	-6.61554
94	2	1	12	3	2	1	5	-2.64796	-2.15233	-3.61818	-4.75212
95	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
96	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
97	9	2	5	2	11	3	1	-29.5128	-31.04	-28.8501	-25.3537
98	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
99	2	1	2	3	2	3	5	-3.76679	-7.46791	-6.69954	-6.61554
100	2	1	21	3	2	1	5	-2.95634	-2.52743	-4.37734	-4.51623
101	4	7	10	4	1	7	1	-1.82902	-3.76918	-2.59053	-1.96037
