Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.58732	-2.50204	-3.52726	-4.88145
1	4	7	10	4	1	7	1	-1.82574	-3.70897	-2.65659	-1.92829
2	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
3	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
4	9	25	2	10	22	3	6	-4.4677	-7.44477	-5.98764	-4.35838
5	4	7	10	4	1	7	1	-1.82574	-3.70897	-2.65659	-1.92829
6	4	7	10	4	1	7	1	-1.82574	-3.70897	-2.65659	-1.92829
7	4	7	10	4	42	51	1	-2.93111	-4.58458	-4.91456	-3.80837
8	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
9	10	81	50	99	120	76	52	-6.64549	-6.36613	-5.29358	-5.14632
10	2	1	21	3	2	1	5	-2.92825	-2.50137	-4.20741	-4.518
11	2	1	21	3	2	1	5	-2.92825	-2.50137	-4.20741	-4.518
12	9	25	2	10	22	3	6	-4.4677	-7.44477	-5.98764	-4.35838
13	2	1	21	3	2	1	5	-2.92825	-2.50137	-4.20741	-4.518
14	10	27	16	19	10	5	7	-20.078	-12.9916	-15.6237	-17.5126
15	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
16	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
17	9	2	4	62	4	5	6	-3.71983	-5.15727	-5.87119	-6.71523
18	9	53	2	53	11	3	3	-31.5701	-27.5582	-26.3802	-25.1046
19	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
20	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
21	4	7	10	4	1	7	1	-1.82574	-3.70897	-2.65659	-1.92829
22	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
23	1	4	2	2	6	3	17	-4.60304	-2.46733	-4.28433	-5.51895
24	4	7	10	4	1	7	1	-1.82574	-3.70897	-2.65659	-1.92829
25	2	1	21	3	2	1	5	-2.92825	-2.50137	-4.20741	-4.518
26	8	10	2	2	11	12	6	-3.95965	-6.98527	-8.10089	-7.24739
27	2	4	2	2	6	1	5	-6.07157	-4.8442	-5.86714	-7.72042
28	2	1	12	3	2	1	5	-2.619	-2.12665	-3.51275	-4.797
29	2	4	1	2	2	1	5	-2.7781	-3.63106	-4.15978	-4.11472
30	4	7	10	4	1	7	1	-1.82574	-3.70897	-2.65659	-1.92829
31	10	1	16	19	10	5	7	-6.0323	-2.76418	-4.05463	-5.14809
32	1	2	3	4	5	9	3	-4.58732	-2.50204	-3.52726	-4.88145
