Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.64418	-2.5147	-3.53757	-4.74356
1	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
2	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
3	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
4	9	25	2	10	22	3	6	-4.47445	-7.30524	-6.17186	-4.39092
5	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
6	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
7	4	7	10	4	42	51	1	-2.93807	-4.60508	-4.91909	-3.80534
8	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
9	10	81	50	99	120	76	52	-6.64567	-6.37692	-5.26084	-5.15509
10	2	1	21	3	2	1	5	-2.94455	-2.51084	-4.31422	-4.43219
11	2	1	21	3	2	1	5	-2.94455	-2.51084	-4.31422	-4.43219
12	9	25	2	10	22	3	6	-4.47445	-7.30524	-6.17186	-4.39092
13	2	1	21	3	2	1	5	-2.94455	-2.51084	-4.31422	-4.43219
14	10	27	16	19	10	5	7	-20.3267	-12.8581	-15.9663	-17.4757
15	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
16	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
17	9	2	4	62	4	5	6	-3.72737	-5.20003	-5.6999	-6.3427
18	9	53	2	53	11	3	3	-29.7854	-27.2169	-27.8421	-25.0704
19	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
20	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
21	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
22	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
23	1	4	2	2	6	3	17	-4.67178	-2.47633	-4.46031	-5.40967
24	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
25	2	1	21	3	2	1	5	-2.94455	-2.51084	-4.31422	-4.43219
26	8	10	2	2	11	12	6	-3.96605	-7.1335	-7.33552	-6.84915
27	2	4	2	2	6	1	5	-6.09785	-4.85727	-5.85876	-7.42449
28	2	1	12	3	2	1	5	-2.6352	-2.13802	-3.53427	-4.5567
29	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
30	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
31	10	1	16	19	10	5	7	-6.22866	-2.77441	-4.11682	-5.07044
32	1	2	3	4	5	9	3	-4.64418	-2.5147	-3.53757	-4.74356
33	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
34	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
35	2	4	1	2	2	1	5	-2.78539	-3.65301	-4.10225	-4.05351
36	4	7	10	4	1	7	1	-1.83107	-3.71632	-2.64581	-1.94233
37	129	66	30	82	189	47	17	-3.25648	-4.85192	-5.58806	-4.15385
38	2	1	12	3	357	1	5	-6.50144	-6.04302	-7.30824	-7.14901
39	9	2	4	62	4	5	6	-3.72737	-5.20003	-5.6999	-6.3427
40	2	1	1	3	2	1	5	-4.63315	-3.81017	-6.18586	-6.94254
41	2	1	12	3	357	1	5	-6.50144	-6.04302	-7.30824	-7.14901
42	2	1	5	3	2	3	5	-4.24939	-3.27511	-5.42216	-4.7918
43	2	1	5	3	2	3	5	-4.24939	-3.27511	-5.42216	-4.7918
