Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.7909	-2.48328	-3.61277	-4.86014
1	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
2	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
3	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
4	9	25	2	10	22	3	6	-4.46323	-7.98088	-6.02906	-4.31385
5	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
6	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
7	4	7	10	4	42	51	1	-2.9239	-4.69575	-4.96643	-3.78982
8	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
9	10	81	50	99	120	76	52	-6.70274	-6.39146	-5.26265	-5.11029
10	2	1	21	3	2	1	5	-2.95009	-2.49193	-4.47126	-4.50142
11	2	1	21	3	2	1	5	-2.95009	-2.49193	-4.47126	-4.50142
12	9	25	2	10	22	3	6	-4.46323	-7.98088	-6.02906	-4.31385
13	2	1	21	3	2	1	5	-2.95009	-2.49193	-4.47126	-4.50142
14	10	27	16	19	10	5	7	-21.4762	-12.9087	-16.1346	-17.4134
15	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
16	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
17	9	2	4	62	4	5	6	-3.71259	-5.24911	-5.89906	-7.01341
18	9	53	2	53	11	3	3	-29.9765	-28.7526	-24.7706	-27.1854
19	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
20	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
21	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
22	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
23	1	4	2	2	6	3	17	-4.81035	-2.44492	-4.59356	-5.41005
24	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
25	2	1	21	3	2	1	5	-2.95009	-2.49193	-4.47126	-4.50142
26	8	10	2	2	11	12	6	-3.94731	-7.67859	-8.10582	-7.64382
27	2	4	2	2	6	1	5	-6.1416	-4.8298	-5.9484	-7.77357
28	2	1	12	3	2	1	5	-2.64284	-2.11781	-3.66628	-4.8465
29	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
30	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
31	10	1	16	19	10	5	7	-7.01405	-2.74156	-4.19475	-5.08576
32	1	2	3	4	5	9	3	-4.7909	-2.48328	-3.61277	-4.86014
33	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
34	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
35	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
36	4	7	10	4	1	7	1	-1.82095	-3.87869	-2.63845	-1.9001
37	129	66	30	82	189	47	17	-3.24284	-4.93369	-5.63951	-4.1301
38	2	1	12	3	357	1	5	-6.67606	-6.68698	-5.88673	-8.26306
39	9	2	4	62	4	5	6	-3.71259	-5.24911	-5.89906	-7.01341
40	2	1	1	3	2	1	5	-4.64718	-3.78703	-6.45041	-7.18096
41	2	1	12	3	357	1	5	-6.67606	-6.68698	-5.88673	-8.26306
42	2	1	5	3	2	3	5	-4.27464	-3.25211	-5.53364	-4.73526
43	2	1	5	3	2	3	5	-4.27464	-3.25211	-5.53364	-4.73526
44	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
45	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
46	2	4	2	2	6	1	5	-6.1416	-4.8298	-5.9484	-7.77357
47	1	4	2	2	6	3	17	-4.81035	-2.44492	-4.59356	-5.41005
48	2	1	21	3	2	1	5	-2.95009	-2.49193	-4.47126	-4.50142
49	2	1	2	3	2	3	5	-3.75007	-7.42242	-7.90351	-7.43826
50	2	1	21	3	2	1	5	-2.95009	-2.49193	-4.47126	-4.50142
51	7	17	2	15	23	3	12	-6.89446	-10.6931	-11.0573	-10.5898
52	2	4	1	2	7	1	5	-2.29789	-6.08824	-6.27532	-5.43364
53	9	2	4	62	4	5	6	-3.71259	-5.24911	-5.89906	-7.01341
54	2	4	1	2	7	1	5	-2.29789	-6.08824	-6.27532	-5.43364
55	9	2	4	62	4	5	6	-3.71259	-5.24911	-5.89906	-7.01341
56	2	1	12	88	2	1	5	-3.97031	-3.43196	-5.82242	-5.3034
57	2	1	5	3	2	3	5	-4.27464	-3.25211	-5.53364	-4.73526
58	2	4	1	2	2	1	5	-2.77387	-3.67151	-4.19187	-4.12332
59	9	2	4	62	4	5	6	-3.71259	-5.24911	-5.89906	-7.01341
60	2	1	5	3	2	3	5	-4.27464	-3.25211	-5.53364	-4.73526
