Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.65433	-2.50973	-3.6255	-5.0695
1	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
2	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
3	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
4	9	25	2	10	22	3	6	-4.46855	-7.46622	-6.0738	-4.32025
5	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
6	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
7	4	7	10	4	42	51	1	-2.92471	-4.60708	-4.9975	-3.77001
8	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
9	10	81	50	99	120	76	52	-6.72678	-6.40714	-5.27913	-5.1384
10	2	1	21	3	2	1	5	-2.92772	-2.50407	-4.49182	-4.55342
11	2	1	21	3	2	1	5	-2.92772	-2.50407	-4.49182	-4.55342
12	9	25	2	10	22	3	6	-4.46855	-7.46622	-6.0738	-4.32025
13	2	1	21	3	2	1	5	-2.92772	-2.50407	-4.49182	-4.55342
14	10	27	16	19	10	5	7	-20.411	-12.8328	-16.1392	-18.3132
15	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
16	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
17	9	2	4	62	4	5	6	-3.71018	-5.18368	-5.91264	-6.69708
18	9	53	2	53	11	3	3	-29.8269	-27.2782	-25.6615	-25.3674
19	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
20	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
21	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
22	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
23	1	4	2	2	6	3	17	-4.65215	-2.47068	-4.61137	-5.76152
24	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
25	2	1	21	3	2	1	5	-2.92772	-2.50407	-4.49182	-4.55342
26	8	10	2	2	11	12	6	-3.9478	-7.06623	-8.13473	-7.10978
27	2	4	2	2	6	1	5	-6.09049	-4.85106	-5.96051	-8.06982
28	2	1	12	3	2	1	5	-2.61942	-2.13064	-3.68065	-4.95617
29	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
30	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
31	10	1	16	19	10	5	7	-6.27791	-2.76961	-4.20925	-5.30093
32	1	2	3	4	5	9	3	-4.65433	-2.50973	-3.6255	-5.0695
33	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
34	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
35	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
36	4	7	10	4	1	7	1	-1.82676	-3.75511	-2.66067	-1.89982
37	129	66	30	82	189	47	17	-3.24217	-4.85296	-5.67994	-4.11433
38	2	1	12	3	357	1	5	-6.38643	-6.0839	-6.34613	-7.72867
39	9	2	4	62	4	5	6	-3.71018	-5.18368	-5.91264	-6.69708
40	2	1	1	3	2	1	5	-4.61332	-3.80278	-6.473	-7.46223
41	2	1	12	3	357	1	5	-6.38643	-6.0839	-6.34613	-7.72867
42	2	1	5	3	2	3	5	-4.23414	-3.27011	-5.56376	-4.79559
43	2	1	5	3	2	3	5	-4.23414	-3.27011	-5.56376	-4.79559
44	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
45	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
46	2	4	2	2	6	1	5	-6.09049	-4.85106	-5.96051	-8.06982
47	1	4	2	2	6	3	17	-4.65215	-2.47068	-4.61137	-5.76152
48	2	1	21	3	2	1	5	-2.92772	-2.50407	-4.49182	-4.55342
49	2	1	2	3	2	3	5	-3.75156	-6.82476	-7.93233	-6.90453
50	2	1	21	3	2	1	5	-2.92772	-2.50407	-4.49182	-4.55342
51	7	17	2	15	23	3	12	-6.89447	-10.0528	-11.0864	-10.0559
52	2	4	1	2	7	1	5	-2.29994	-5.44848	-6.30713	-5.10051
53	9	2	4	62	4	5	6	-3.71018	-5.18368	-5.91264	-6.69708
54	2	4	1	2	7	1	5	-2.29994	-5.44848	-6.30713	-5.10051
55	9	2	4	62	4	5	6	-3.71018	-5.18368	-5.91264	-6.69708
56	2	1	12	88	2	1	5	-3.94531	-3.44539	-5.85037	-5.35533
57	2	1	5	3	2	3	5	-4.23414	-3.27011	-5.56376	-4.79559
58	2	4	1	2	2	1	5	-2.77221	-3.64653	-4.20911	-4.10142
59	9	2	4	62	4	5	6	-3.71018	-5.18368	-5.91264	-6.69708
60	2	1	5	3	2	3	5	-4.23414	-3.27011	-5.56376	-4.79559
