Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.57831	-2.50771	-3.69233	-4.95198
1	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
2	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
3	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
4	9	25	2	10	22	3	6	-4.4722	-7.46512	-5.78113	-4.33333
5	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
6	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
7	4	7	10	4	42	51	1	-2.92564	-4.63314	-4.80066	-3.80169
8	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
9	10	81	50	99	120	76	52	-6.68544	-6.38646	-5.26012	-5.11275
10	2	1	21	3	2	1	5	-2.9213	-2.50557	-4.51845	-4.60203
11	2	1	21	3	2	1	5	-2.9213	-2.50557	-4.51845	-4.60203
12	9	25	2	10	22	3	6	-4.4722	-7.46512	-5.78113	-4.33333
13	2	1	21	3	2	1	5	-2.9213	-2.50557	-4.51845	-4.60203
14	10	27	16	19	10	5	7	-20.6119	-12.7959	-16.3282	-18.529
15	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
16	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
17	9	2	4	62	4	5	6	-3.70678	-5.21613	-5.86719	-6.88676
18	9	53	2	53	11	3	3	-31.7334	-26.6957	-28.56	-27.8003
19	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
20	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
21	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
22	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
23	1	4	2	2	6	3	17	-4.5997	-2.46878	-4.73589	-5.73708
24	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
25	2	1	21	3	2	1	5	-2.9213	-2.50557	-4.51845	-4.60203
26	8	10	2	2	11	12	6	-3.94731	-7.25857	-7.5796	-7.45455
27	2	4	2	2	6	1	5	-6.06014	-4.85048	-6.0282	-7.8861
28	2	1	12	3	2	1	5	-2.60986	-2.13224	-3.7369	-4.98075
29	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
30	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
31	10	1	16	19	10	5	7	-6.04795	-2.7668	-4.28721	-5.21817
32	1	2	3	4	5	9	3	-4.57831	-2.50771	-3.69233	-4.95198
33	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
34	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
35	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
36	4	7	10	4	1	7	1	-1.82693	-3.76541	-2.56505	-1.9081
37	129	66	30	82	189	47	17	-3.24201	-4.8773	-5.40018	-4.14646
38	2	1	12	3	357	1	5	-6.88572	-5.82438	-8.03923	-8.7388
39	9	2	4	62	4	5	6	-3.70678	-5.21613	-5.86719	-6.88676
40	2	1	1	3	2	1	5	-4.60804	-3.80325	-6.60499	-7.69444
41	2	1	12	3	357	1	5	-6.88572	-5.82438	-8.03923	-8.7388
42	2	1	5	3	2	3	5	-4.22419	-3.26867	-5.55753	-4.82054
43	2	1	5	3	2	3	5	-4.22419	-3.26867	-5.55753	-4.82054
44	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
45	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
46	2	4	2	2	6	1	5	-6.06014	-4.85048	-6.0282	-7.8861
47	1	4	2	2	6	3	17	-4.5997	-2.46878	-4.73589	-5.73708
48	2	1	21	3	2	1	5	-2.9213	-2.50557	-4.51845	-4.60203
49	2	1	2	3	2	3	5	-3.7531	-7.00976	-7.37627	-7.25083
50	2	1	21	3	2	1	5	-2.9213	-2.50557	-4.51845	-4.60203
51	7	17	2	15	23	3	12	-6.8931	-10.2554	-10.5288	-10.4004
52	2	4	1	2	7	1	5	-2.30225	-5.64632	-5.79175	-5.33064
53	9	2	4	62	4	5	6	-3.70678	-5.21613	-5.86719	-6.88676
54	2	4	1	2	7	1	5	-2.30225	-5.64632	-5.79175	-5.33064
55	9	2	4	62	4	5	6	-3.70678	-5.21613	-5.86719	-6.88676
56	2	1	12	88	2	1	5	-3.93936	-3.44641	-5.85938	-5.4092
57	2	1	5	3	2	3	5	-4.22419	-3.26867	-5.55753	-4.82054
58	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
59	9	2	4	62	4	5	6	-3.70678	-5.21613	-5.86719	-6.88676
60	2	1	5	3	2	3	5	-4.22419	-3.26867	-5.55753	-4.82054
61	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
62	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
63	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
64	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
65	2	4	1	2	2	1	5	-2.77185	-3.65932	-4.16834	-4.12477
