Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
1	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
2	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
3	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
4	9	25	2	10	22	3	6	-4.46789	-7.6548	-6.00533	-4.34802
5	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
6	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
7	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
8	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
9	10	81	50	99	120	76	52	-6.67848	-6.4105	-5.31415	-5.1626
10	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
11	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
12	9	25	2	10	22	3	6	-4.46789	-7.6548	-6.00533	-4.34802
13	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
14	10	27	16	19	10	5	7	-20.995	-12.8759	-15.992	-17.6009
15	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
16	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
17	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
18	9	53	2	53	11	3	3	-27.3186	-27.1407	-23.7813	-26.3664
19	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
20	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
21	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
22	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
23	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
24	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
25	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
26	8	10	2	2	11	12	6	-3.95873	-7.2673	-8.6487	-6.68938
27	2	4	2	2	6	1	5	-6.13414	-4.84104	-6.01683	-7.65091
28	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
29	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
30	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
31	10	1	16	19	10	5	7	-6.69112	-2.75625	-4.24804	-5.17887
32	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
33	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
34	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
35	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
36	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
37	129	66	30	82	189	47	17	-3.25112	-4.88284	-5.67051	-4.10122
38	2	1	12	3	357	1	5	-5.30356	-5.94172	-5.59028	-7.88552
39	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
40	2	1	1	3	2	1	5	-4.64822	-3.79411	-6.50007	-6.91554
41	2	1	12	3	357	1	5	-5.30356	-5.94172	-5.59028	-7.88552
42	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
43	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
44	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
45	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
46	2	4	2	2	6	1	5	-6.13414	-4.84104	-6.01683	-7.65091
47	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
48	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
49	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
50	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
51	7	17	2	15	23	3	12	-6.9057	-10.2604	-11.6053	-9.63564
52	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
53	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
54	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
55	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
56	2	1	12	88	2	1	5	-3.97253	-3.4376	-5.85873	-5.24833
57	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
58	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
59	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
60	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
61	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
62	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
63	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
64	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
65	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
66	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
67	1	2	215	4	90	24	8	-25.8078	-27.8639	-18.9458	-22.9836
68	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
69	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
70	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
71	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
72	9	25	2	10	22	3	6	-4.46789	-7.6548	-6.00533	-4.34802
73	2	15	4	48	360	25	23	-6.66268	-9.15037	-5.71728	-4.91573
74	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
75	2	1	12	88	2	1	5	-3.97253	-3.4376	-5.85873	-5.24833
76	2	4	2	2	6	1	5	-6.13414	-4.84104	-6.01683	-7.65091
77	10	1	16	19	10	5	7	-6.69112	-2.75625	-4.24804	-5.17887
78	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
79	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
80	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
81	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
82	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
83	10	1	16	19	10	5	7	-6.69112	-2.75625	-4.24804	-5.17887
84	8	10	149	2	11	12	6	-4.91342	-3.97965	-5.76011	-6.91805
85	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
86	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
87	32	39	30	82	104	324	17	-8.82221	-4.68641	-7.43079	-8.71909
88	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
89	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
90	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
91	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
92	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
93	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
94	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
95	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
96	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
97	9	2	5	2	11	3	1	-28.8924	-31.7701	-28.208	-26.2199
98	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
99	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
100	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
101	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
102	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
103	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
104	2	4	5	2	10	1	5	-6.89707	-10.2411	-11.586	-9.62446
105	2	1	12	88	2	1	5	-3.97253	-3.4376	-5.85873	-5.24833
106	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
107	2	165	73	147	220	190	104	-8.57397	-10.1874	-6.892	-5.25039
108	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
109	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
110	2	1	12	3	11	1	6	-18.6385	-17.6953	-20.4832	-20.6777
111	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
112	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
113	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
114	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
115	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
116	33	39	30	82	113	43	17	-9.86798	-6.46162	-6.21383	-8.36808
117	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
118	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
119	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
120	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
121	4	7	10	1	1	7	1	-5.27245	-8.47741	-6.06356	-6.06262
122	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
123	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
124	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
125	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
126	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
127	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
128	2	1	12	88	2	1	5	-3.97253	-3.4376	-5.85873	-5.24833
129	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
130	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
131	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
132	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
133	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
134	2	4	5	2	2	5	5	-3.67569	-7.00591	-7.46186	-5.68102
135	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
136	1	4	2	2	6	3	1	-11.3996	-10.0756	-10.4627	-11.0266
137	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
138	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
139	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
140	8	10	2	2	11	12	6	-3.95873	-7.2673	-8.6487	-6.68938
141	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
142	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
143	2	1	2	3	2	3	5	-3.76185	-7.0231	-8.44338	-6.48603
144	129	66	30	82	189	47	17	-3.25112	-4.88284	-5.67051	-4.10122
145	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
146	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
147	7	21	5	62	4	61	44	-7.9145	-3.83983	-5.71618	-7.44272
148	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
149	2	937	1	2	2	1	5	-5.36135	-7.47494	-6.11702	-7.29155
150	1	14	2	2	6	1	17	-9.33999	-6.45498	-7.72828	-6.33421
151	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
152	8	10	149	2	11	12	6	-4.91342	-3.97965	-5.76011	-6.91805
153	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
154	9	30	2	2	89	59	6	-4.9579	-8.31399	-9.65844	-7.68856
155	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
156	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
157	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
158	180	194	2	68	19	231	147	-18.5777	-27.7824	-19.2721	-24.4096
159	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
160	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
161	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
162	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
163	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
164	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
165	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
166	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
167	10	1	16	19	10	5	7	-6.69112	-2.75625	-4.24804	-5.17887
168	104	7	10	4	1	7	1	-4.41361	-7.77574	-9.10006	-7.12617
169	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
170	10	27	16	19	10	5	7	-20.995	-12.8759	-15.992	-17.6009
171	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
172	2	1	1	3	2	1	5	-4.64822	-3.79411	-6.50007	-6.91554
173	7	21	5	62	4	61	44	-7.9145	-3.83983	-5.71618	-7.44272
174	2	1	1	3	2	1	5	-4.64822	-3.79411	-6.50007	-6.91554
175	10	1	16	19	10	5	7	-6.69112	-2.75625	-4.24804	-5.17887
176	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
177	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
178	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
179	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
180	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
181	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
182	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
183	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
184	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
185	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
186	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
187	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
188	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
189	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
190	1	2	4	62	4	5	17	-6.15228	-4.85579	-7.56889	-8.22467
191	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
192	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
193	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
194	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
195	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
196	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
197	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
198	1	2	4	62	4	5	17	-6.15228	-4.85579	-7.56889	-8.22467
199	2	250	4	281	358	25	57	-25.9312	-30.2156	-17.5385	-19.9775
200	9	2	4	62	4	5	6	-3.72283	-5.20823	-6.02219	-6.28652
201	1	2	3	4	5	9	3	-4.74812	-2.4974	-3.67365	-4.89516
202	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
203	2	4	2	4	19	3	6	-5.80185	-9.15323	-10.4967	-8.52614
204	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
205	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
206	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
207	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
208	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
209	1	2	4	62	4	5	17	-6.15228	-4.85579	-7.56889	-8.22467
210	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
211	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
212	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
213	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
214	47	2	4	2	6	5	17	-10.7317	-10.7699	-6.26045	-8.49117
215	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
216	2	1	21	3	2	1	5	-2.95328	-2.49705	-4.52722	-4.40899
217	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
218	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
219	10	81	50	99	120	76	52	-6.67848	-6.4105	-5.31415	-5.1626
220	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
221	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
222	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
223	1	2	4	62	4	5	17	-6.15228	-4.85579	-7.56889	-8.22467
224	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
225	4	7	10	4	1	7	1	-1.82696	-3.81196	-2.67765	-1.91572
226	10	1	16	19	10	5	7	-6.69112	-2.75625	-4.24804	-5.17887
227	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
228	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
229	1	4	2	348	6	3	17	-9.51436	-5.37167	-8.11738	-9.40949
230	1	2	4	62	4	5	17	-6.15228	-4.85579	-7.56889	-8.22467
231	10	27	16	19	10	5	7	-20.995	-12.8759	-15.992	-17.6009
232	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
233	4	7	10	4	42	51	1	-2.93252	-4.641	-5.00923	-3.7575
234	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
235	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
236	2	1	12	88	2	1	5	-3.97253	-3.4376	-5.85873	-5.24833
237	2	4	1	2	7	1	5	-2.30974	-5.65681	-6.68918	-4.80048
238	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
239	1	4	2	2	6	3	17	-4.76765	-2.4578	-4.6342	-5.49118
240	2	1	4	28	58	25	58	-5.64332	-8.38765	-5.36669	-4.23451
241	2	1	5	3	2	3	5	-4.26958	-3.26055	-5.54266	-4.75942
242	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
243	2	4	1	2	2	1	5	-2.78271	-3.65605	-4.26393	-4.03203
244	2	1	5	10	11	1	5	-26.9523	-22.4776	-24.2606	-25.2756
245	2	1	12	3	2	1	5	-2.64608	-2.12372	-3.73693	-4.61031
