Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.63536	-2.45946	-3.70588	-5.0108
1	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
2	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
3	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
4	9	25	2	10	22	3	6	-4.45822	-8.53539	-5.73911	-4.36739
5	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
6	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
7	4	7	10	4	42	51	1	-2.91773	-4.72504	-4.84309	-3.77879
8	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
9	10	81	50	99	120	76	52	-6.70112	-6.36748	-5.24541	-5.17274
10	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
11	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
12	9	25	2	10	22	3	6	-4.45822	-8.53539	-5.73911	-4.36739
13	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
14	10	27	16	19	10	5	7	-20.3549	-12.8698	-16.3459	-18.8585
15	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
16	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
17	9	2	4	62	4	5	6	-3.70463	-5.25536	-6.01243	-6.32367
18	9	53	2	53	11	3	3	-29.5543	-28.3204	-24.4932	-25.5987
19	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
20	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
21	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
22	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
23	1	4	2	2	6	3	17	-4.63262	-2.42295	-4.76538	-5.79308
24	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
25	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
26	8	10	2	2	11	12	6	-3.94257	-7.99319	-8.38643	-6.7151
27	2	4	2	2	6	1	5	-6.08078	-4.80674	-6.05425	-7.81425
28	2	1	12	3	2	1	5	-2.61213	-2.09817	-3.79485	-4.75894
29	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
30	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
31	10	1	16	19	10	5	7	-6.21643	-2.7181	-4.29556	-5.31621
32	1	2	3	4	5	9	3	-4.63536	-2.45946	-3.70588	-5.0108
33	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
34	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
35	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
36	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
37	129	66	30	82	189	47	17	-3.23496	-4.96128	-5.45443	-4.12598
38	2	1	12	3	357	1	5	-6.20023	-6.47195	-6.02781	-7.69619
39	9	2	4	62	4	5	6	-3.70463	-5.25536	-6.01243	-6.32367
40	2	1	1	3	2	1	5	-4.6056	-3.76762	-6.74773	-7.26923
41	2	1	12	3	357	1	5	-6.20023	-6.47195	-6.02781	-7.69619
42	2	1	5	3	2	3	5	-4.22293	-3.23325	-5.58292	-4.83599
43	2	1	5	3	2	3	5	-4.22293	-3.23325	-5.58292	-4.83599
44	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
45	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
46	2	4	2	2	6	1	5	-6.08078	-4.80674	-6.05425	-7.81425
47	1	4	2	2	6	3	17	-4.63262	-2.42295	-4.76538	-5.79308
48	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
49	2	1	2	3	2	3	5	-3.74659	-7.71945	-8.18206	-6.51157
50	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
51	7	17	2	15	23	3	12	-6.88912	-11.0376	-11.3389	-9.66136
52	2	4	1	2	7	1	5	-2.29499	-6.43682	-6.4234	-4.82433
53	9	2	4	62	4	5	6	-3.70463	-5.25536	-6.01243	-6.32367
54	2	4	1	2	7	1	5	-2.29499	-6.43682	-6.4234	-4.82433
55	9	2	4	62	4	5	6	-3.70463	-5.25536	-6.01243	-6.32367
56	2	1	12	88	2	1	5	-3.93704	-3.41429	-5.94902	-5.34722
57	2	1	5	3	2	3	5	-4.22293	-3.23325	-5.58292	-4.83599
58	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
59	9	2	4	62	4	5	6	-3.70463	-5.25536	-6.01243	-6.32367
60	2	1	5	3	2	3	5	-4.22293	-3.23325	-5.58292	-4.83599
61	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
62	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
63	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
64	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
65	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
66	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
67	1	2	215	4	90	24	8	-28.8711	-31.1147	-19.9181	-21.9904
68	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
69	1	2	3	4	5	9	3	-4.63536	-2.45946	-3.70588	-5.0108
70	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
71	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
72	9	25	2	10	22	3	6	-4.45822	-8.53539	-5.73911	-4.36739
73	2	15	4	48	360	25	23	-6.69637	-9.43682	-5.58863	-4.92901
74	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
75	2	1	12	88	2	1	5	-3.93704	-3.41429	-5.94902	-5.34722
76	2	4	2	2	6	1	5	-6.08078	-4.80674	-6.05425	-7.81425
77	10	1	16	19	10	5	7	-6.21643	-2.7181	-4.29556	-5.31621
78	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
79	2	1	12	3	2	1	5	-2.61213	-2.09817	-3.79485	-4.75894
80	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
81	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
82	1	4	2	2	6	3	17	-4.63262	-2.42295	-4.76538	-5.79308
83	10	1	16	19	10	5	7	-6.21643	-2.7181	-4.29556	-5.31621
84	8	10	149	2	11	12	6	-4.86688	-3.94915	-5.84174	-7.16698
85	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
86	2	4	1	2	7	1	5	-2.29499	-6.43682	-6.4234	-4.82433
87	32	39	30	82	104	324	17	-8.20289	-4.65017	-7.72019	-10.0152
88	1	2	3	4	5	9	3	-4.63536	-2.45946	-3.70588	-5.0108
89	2	1	5	3	2	3	5	-4.22293	-3.23325	-5.58292	-4.83599
90	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
91	2	4	1	2	7	1	5	-2.29499	-6.43682	-6.4234	-4.82433
92	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
93	2	1	2	3	2	3	5	-3.74659	-7.71945	-8.18206	-6.51157
94	2	1	12	3	2	1	5	-2.61213	-2.09817	-3.79485	-4.75894
95	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
96	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
97	9	2	5	2	11	3	1	-29.4355	-32.9354	-27.9238	-26.0481
98	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
99	2	1	2	3	2	3	5	-3.74659	-7.71945	-8.18206	-6.51157
100	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
101	4	7	10	4	1	7	1	-1.81797	-3.92734	-2.55855	-1.92941
102	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
103	1	4	2	2	6	3	17	-4.63262	-2.42295	-4.76538	-5.79308
104	2	4	5	2	10	1	5	-6.88191	-11.0179	-11.3216	-9.64962
105	2	1	12	88	2	1	5	-3.93704	-3.41429	-5.94902	-5.34722
106	9	2	4	62	4	5	6	-3.70463	-5.25536	-6.01243	-6.32367
107	2	165	73	147	220	190	104	-8.75122	-11.7404	-6.62575	-5.26921
108	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
109	2	4	1	2	2	1	5	-2.76608	-3.66507	-4.21738	-4.05886
110	2	1	12	3	11	1	6	-18.9675	-17.8082	-20.5912	-20.749
111	2	1	2	3	2	3	5	-3.74659	-7.71945	-8.18206	-6.51157
112	2	4	1	2	7	1	5	-2.29499	-6.43682	-6.4234	-4.82433
113	2	1	2	3	2	3	5	-3.74659	-7.71945	-8.18206	-6.51157
114	2	1	21	3	2	1	5	-2.91997	-2.47393	-4.59154	-4.51016
115	2	4	1	2	7	1	5	-2.29499	-6.43682	-6.4234	-4.82433
116	33	39	30	82	113	43	17	-9.8204	-6.4066	-6.21068	-8.3208
