Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.761	-2.4796	-3.58873	-4.86868
1	4	7	10	4	1	7	1	-1.83114	-3.78778	-2.66108	-1.92945
2	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
3	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
4	9	25	2	10	22	3	6	-4.47617	-7.67516	-6.11706	-4.37036
5	4	7	10	4	1	7	1	-1.83114	-3.78778	-2.66108	-1.92945
6	4	7	10	4	1	7	1	-1.83114	-3.78778	-2.66108	-1.92945
7	4	7	10	4	42	51	1	-2.93223	-4.61985	-4.96362	-3.79092
8	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
9	10	81	50	99	120	76	52	-6.72694	-6.38489	-5.27984	-5.15785
10	2	1	21	3	2	1	5	-2.95051	-2.48252	-4.40111	-4.47408
11	2	1	21	3	2	1	5	-2.95051	-2.48252	-4.40111	-4.47408
12	9	25	2	10	22	3	6	-4.47617	-7.67516	-6.11706	-4.37036
13	2	1	21	3	2	1	5	-2.95051	-2.48252	-4.40111	-4.47408
14	10	27	16	19	10	5	7	-20.8661	-12.9926	-16.0214	-17.707
15	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
16	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
17	9	2	4	62	4	5	6	-3.7205	-5.1822	-5.81747	-6.40897
18	9	53	2	53	11	3	3	-29.1657	-28.1533	-25.4725	-26.2026
19	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
20	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
21	4	7	10	4	1	7	1	-1.83114	-3.78778	-2.66108	-1.92945
22	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
23	1	4	2	2	6	3	17	-4.77458	-2.4419	-4.53156	-5.55424
24	4	7	10	4	1	7	1	-1.83114	-3.78778	-2.66108	-1.92945
25	2	1	21	3	2	1	5	-2.95051	-2.48252	-4.40111	-4.47408
26	8	10	2	2	11	12	6	-3.95557	-7.21414	-7.69962	-6.86828
27	2	4	2	2	6	1	5	-6.13351	-4.82418	-5.91756	-7.62609
28	2	1	12	3	2	1	5	-2.64242	-2.10871	-3.61216	-4.67847
29	2	4	1	2	2	1	5	-2.77885	-3.63667	-4.16512	-4.06618
30	4	7	10	4	1	7	1	-1.83114	-3.78778	-2.66108	-1.92945
31	10	1	16	19	10	5	7	-6.77331	-2.73944	-4.16744	-5.17175
